,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,573638,-8.50,36.50,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,1,0,0,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
1,2,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,1,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.2,1,1,0,573639,-205.00,31.50,4,0,,,Knuckleball,51,FRONTFOOT COVERDRIVE,0,0,2,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,1,3,2 (WD),2,0,0,0,0,0,2,1,0,0,0,0,0,0,,,0,0.3,1,1,1,573640,-205.00,31.50,2,0,,,Knuckleball,54,LEG GLANCE,0,0,3,0,6,0,Leg stump,Full Length,0,0,0,0,0,0,0,0
3,4,1736,1,115,Ireland (Women),Gaby Lewis,Titas Sadhu,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,573641,-205.00,31.50,0,0,,,Knuckleball,105,LEFT ALONE,0,0,4,0,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,1736,1,115,Ireland (Women),Gaby Lewis,Titas Sadhu,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,573642,-205.00,31.50,0,0,,,Knuckleball,105,LEFT ALONE,0,0,5,0,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
5,6,1736,1,115,Ireland (Women),Gaby Lewis,Titas Sadhu,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,573643,-205.00,31.50,0,0,,,Knuckleball,106,BACKFOOT PULL SHOT,0,0,6,0,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
6,7,1736,1,115,Ireland (Women),Gaby Lewis,Titas Sadhu,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,573644,-58.50,23.00,0,0,,,Knuckleball,50,BACKFOOT DEFENCE,0,0,7,0,6,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
7,1,1736,1,115,Ireland (Women),Sarah Forbes,Sayali Satghare,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,573645,-15.50,42.00,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,1,1,6,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
8,2,1736,1,115,Ireland (Women),Sarah Forbes,Sayali Satghare,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,573646,-44.00,97.00,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,2,1,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
9,3,1736,1,115,Ireland (Women),Sarah Forbes,Sayali Satghare,,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,573647,88.50,-113.50,1,0,,,Knuckleball,54,LEG GLANCE,0,0,3,1,7,0,Leg stump,Full Length,0,0,0,0,0,0,0,0
10,4,1736,1,115,Ireland (Women),Gaby Lewis,Sayali Satghare,,2,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.4,1,1,0,573648,39.00,-162.00,4,0,,,Knuckleball,106,BACKFOOT PULL SHOT,0,0,4,1,11,0,Off stump,Good Length,0,0,0,0,0,0,0,0
11,5,1736,1,115,Ireland (Women),Gaby Lewis,Sayali Satghare,,2,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.5,1,1,0,573649,-191.00,91.50,4,0,,,Knuckleball,51,FRONTFOOT COVERDRIVE,0,0,5,1,15,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
12,6,1736,1,115,Ireland (Women),Gaby Lewis,Sayali Satghare,,2,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.6,1,1,0,573650,179.50,108.00,4,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,6,1,19,0,Leg stump,Full Length,0,0,0,0,0,0,0,0
13,1,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,573651,22.50,138.00,0,0,,,Knuckleball,27,FORWARD PUSH,0,0,1,2,19,0,Middle stump,Full Length,1,0,0,0,0,0,0,0
14,2,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,573652,-90.00,41.00,0,0,,,Knuckleball,51,FRONTFOOT COVERDRIVE,0,0,2,2,19,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
15,3,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,3,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,573653,-95.00,67.50,2,0,,,Knuckleball,51,FRONTFOOT COVERDRIVE,0,0,3,2,21,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
16,4,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,3,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,573654,129.50,-10.50,2,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,4,2,23,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
17,5,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,573655,129.50,-10.50,0,0,,,Knuckleball,105,LEFT ALONE,0,0,5,2,23,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
18,6,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,573656,-39.50,10.00,0,0,,,Knuckleball,50,BACKFOOT DEFENCE,0,0,6,2,23,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
19,1,1736,1,115,Ireland (Women),Gaby Lewis,Sayali Satghare,,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.1,1,1,0,573657,-43.50,44.50,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,1,3,23,0,Outside Off stump,Full Length,1,0,0,0,0,0,0,0
20,2,1736,1,115,Ireland (Women),Gaby Lewis,Sayali Satghare,,4,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.2,1,1,0,573658,177.50,129.00,4,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,2,3,27,0,Off stump,Good Length,0,0,0,0,0,0,0,0
21,3,1736,1,115,Ireland (Women),Gaby Lewis,Sayali Satghare,,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,573659,18.50,146.00,0,0,,,Knuckleball,53,FRONTFOOT STRAIGHT DRIVE,0,0,3,3,27,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
22,4,1736,1,115,Ireland (Women),Gaby Lewis,Sayali Satghare,,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.4,1,1,0,573660,18.50,146.00,0,0,,,Knuckleball,105,LEFT ALONE,0,0,4,3,27,0,Outside Off stump,Short Length,0,0,0,0,0,0,0,0
23,5,1736,1,115,Ireland (Women),Gaby Lewis,Sayali Satghare,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.5,1,1,0,573661,8.50,55.50,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,5,3,27,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
24,6,1736,1,115,Ireland (Women),Gaby Lewis,Sayali Satghare,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,1,1,0,573662,8.50,55.50,0,0,,,Knuckleball,105,LEFT ALONE,0,0,6,3,27,0,Outside Off stump,Short Length,0,0,0,0,0,0,0,0
25,1,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.1,1,1,0,573663,8.50,55.50,0,0,,,Knuckleball,105,LEFT ALONE,0,0,1,4,27,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
26,2,1736,1,115,Ireland (Women),Sarah Forbes,Titas Sadhu,,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.2,1,1,0,573664,-82.00,-8.50,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,2,4,27,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
