,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1676,1,55,Australia (Women),Phoebe Litchfield,Renuka Singh,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,560235,13.00,38.50,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,1,0,0,0,Off stump,Good Length,1,0,0,0,0,0,0,0
1,2,1676,1,55,Australia (Women),Phoebe Litchfield,Renuka Singh,,1,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.2,1,1,0,560236,6.00,26.00,4,0,,42,OUTSWINGER,84,FRONTFOOT OFF DRIVE,0,0,2,0,4,0,Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,1676,1,55,Australia (Women),Phoebe Litchfield,Renuka Singh,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,560237,6.00,26.00,0,0,,42,OUTSWINGER,50,BACKFOOT DEFENCE,0,0,3,0,4,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
3,4,1676,1,55,Australia (Women),Phoebe Litchfield,Renuka Singh,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,560238,49.50,54.00,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,4,0,4,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
4,5,1676,1,55,Australia (Women),Phoebe Litchfield,Renuka Singh,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,560239,-13.50,40.50,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,5,0,4,0,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
5,6,1676,1,55,Australia (Women),Phoebe Litchfield,Renuka Singh,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,560240,44.50,31.00,0,0,,42,OUTSWINGER,50,BACKFOOT DEFENCE,0,0,6,0,4,0,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
6,1,1676,1,55,Australia (Women),Georgia Voll,Saima Thakor,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,560241,-88.00,-7.50,0,0,,42,OUTSWINGER,97,BACKFOOT PUSH,0,0,1,1,4,0,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
7,2,1676,1,55,Australia (Women),Georgia Voll,Saima Thakor,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,560242,-88.00,-7.50,0,0,,42,OUTSWINGER,50,BACKFOOT DEFENCE,0,0,2,1,4,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
8,3,1676,1,55,Australia (Women),Georgia Voll,Saima Thakor,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,560243,-63.50,-25.50,0,0,,42,OUTSWINGER,50,BACKFOOT DEFENCE,0,0,3,1,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
9,4,1676,1,55,Australia (Women),Georgia Voll,Saima Thakor,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,560244,-84.50,50.00,0,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,4,1,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
10,5,1676,1,55,Australia (Women),Georgia Voll,Saima Thakor,,2,5,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,560245,132.00,-84.00,3,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,5,1,7,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
11,6,1676,1,55,Australia (Women),Phoebe Litchfield,Saima Thakor,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,560246,77.50,60.00,0,0,,30,ANGLED ACROSS,51,FRONTFOOT COVERDRIVE,0,0,6,1,7,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
12,1,1676,1,55,Australia (Women),Georgia Voll,Renuka Singh,,3,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,560247,-133.50,-7.50,2,0,,39,ANGLED IN,16,BACKFOOT SQUARE DRIVE,0,0,1,2,9,0,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
13,2,1676,1,55,Australia (Women),Georgia Voll,Renuka Singh,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,560248,68.50,14.50,0,0,,41,INSWINGER,27,FORWARD PUSH,0,0,2,2,9,0,Middle stump,Full Length,0,0,0,0,0,0,0,0
14,3,1676,1,55,Australia (Women),Georgia Voll,Renuka Singh,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,560249,-3.50,34.50,0,0,,41,INSWINGER,50,BACKFOOT DEFENCE,0,0,3,2,9,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
15,4,1676,1,55,Australia (Women),Georgia Voll,Renuka Singh,,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,560250,-106.50,32.00,0,0,,41,INSWINGER,36,CUT SHOT,0,0,4,2,9,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
16,5,1676,1,55,Australia (Women),Georgia Voll,Renuka Singh,,3,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.5,1,1,0,560251,47.50,237.00,4,0,,39,ANGLED IN,53,FRONTFOOT STRAIGHT DRIVE,0,0,5,2,13,0,Off stump,Full Length,0,0,0,0,0,0,0,0
17,6,1676,1,55,Australia (Women),Georgia Voll,Renuka Singh,,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,560252,152.00,82.00,1,0,,41,INSWINGER,27,FORWARD PUSH,0,0,6,2,14,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
18,1,1676,1,55,Australia (Women),Georgia Voll,Saima Thakor,,4,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.1,1,1,0,560253,94.00,201.50,4,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,1,3,18,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
19,2,1676,1,55,Australia (Women),Georgia Voll,Saima Thakor,,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.2,1,1,0,560254,138.50,-17.00,1,0,,41,INSWINGER,54,LEG GLANCE,0,0,2,3,19,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
20,3,1676,1,55,Australia (Women),Phoebe Litchfield,Saima Thakor,,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,560255,0.50,33.00,0,0,,38,STRAIGHT BALL,49,FORWARD DEFENCE,0,0,3,3,19,0,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
21,4,1676,1,55,Australia (Women),Phoebe Litchfield,Saima Thakor,,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.4,1,1,0,560256,0.50,33.00,0,0,,30,ANGLED ACROSS,77,STEP DOWN DEFENCE,0,0,4,3,19,0,Off stump,Yorker,0,0,0,0,0,0,0,0
22,5,1676,1,55,Australia (Women),Phoebe Litchfield,Saima Thakor,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.5,1,1,0,560257,29.50,45.00,0,0,,38,STRAIGHT BALL,49,FORWARD DEFENCE,0,0,5,3,19,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
23,6,1676,1,55,Australia (Women),Phoebe Litchfield,Saima Thakor,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,1,1,0,560258,29.50,45.00,0,0,,30,ANGLED ACROSS,105,LEFT ALONE,0,0,6,3,19,0,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
24,1,1676,1,55,Australia (Women),Georgia Voll,Renuka Singh,,5,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.1,1,1,0,560259,-205.00,77.00,4,0,,41,INSWINGER,51,FRONTFOOT COVERDRIVE,0,0,1,4,23,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
25,2,1676,1,55,Australia (Women),Georgia Voll,Renuka Singh,,5,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.2,1,1,0,560260,-21.00,235.50,4,0,,41,INSWINGER,53,FRONTFOOT STRAIGHT DRIVE,0,0,2,4,27,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
26,3,1676,1,55,Australia (Women),Georgia Voll,Renuka Singh,,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.3,1,1,0,560261,98.50,18.00,0,0,,41,INSWINGER,97,BACKFOOT PUSH,0,0,3,4,27,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
