,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1497,1,55,Australia (Women),Grace Harris,Renuka Singh,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,529246,-73.00,1.00,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,1,0,0,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
1,2,1497,1,55,Australia (Women),Grace Harris,Renuka Singh,,1,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.2,1,1,0,529247,-181.00,-29.00,4,0,,38,STRAIGHT BALL,16,BACKFOOT SQUARE DRIVE,0,0,2,0,4,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
2,3,1497,1,55,Australia (Women),Grace Harris,Renuka Singh,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,529248,-66.50,43.50,0,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,3,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
3,4,1497,1,55,Australia (Women),Grace Harris,Renuka Singh,,1,4,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.4,1,1,1,529250,-66.50,43.50,1,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,4,0,5,0,Leg stump,Full Length,0,0,0,0,0,0,0,0
4,5,1497,1,55,Australia (Women),Grace Harris,Renuka Singh,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,529252,-66.50,43.50,0,0,,41,INSWINGER,27,FORWARD PUSH,0,0,5,0,5,0,Off stump,Good Length,0,0,0,0,0,0,0,0
5,6,1497,1,55,Australia (Women),Grace Harris,Renuka Singh,,1,5,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,529254,136.00,-39.50,2,0,,41,INSWINGER,97,BACKFOOT PUSH,0,0,6,0,7,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
6,7,1497,1,55,Australia (Women),Grace Harris,Renuka Singh,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,529256,-35.00,58.50,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,7,0,7,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
7,1,1497,1,55,Australia (Women),Beth Mooney,Shreyanka Patil,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,529258,-35.00,58.50,0,0,,25,OFF SPIN,49,FORWARD DEFENCE,0,0,1,1,7,0,Outside Leg stump,Good Length,1,0,0,0,0,0,0,0
8,2,1497,1,55,Australia (Women),Beth Mooney,Shreyanka Patil,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,529260,68.00,31.50,0,0,,25,OFF SPIN,49,FORWARD DEFENCE,0,0,2,1,7,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
9,3,1497,1,55,Australia (Women),Beth Mooney,Shreyanka Patil,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,529262,-67.00,-25.50,0,0,,25,OFF SPIN,22,FRONTFOOT PADDLE SWEEP,0,0,3,1,7,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
10,4,1497,1,55,Australia (Women),Beth Mooney,Shreyanka Patil,,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,529263,-144.50,57.50,1,0,,25,OFF SPIN,40,FRONTFOOT FLICK,0,0,4,1,8,0,Middle stump,Full Length,0,0,0,0,0,0,0,0
11,5,1497,1,55,Australia (Women),Grace Harris,Shreyanka Patil,,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,529266,140.50,-38.00,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,5,1,9,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
12,6,1497,1,55,Australia (Women),Beth Mooney,Shreyanka Patil,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,529267,68.00,33.00,0,0,,25,OFF SPIN,49,FORWARD DEFENCE,0,0,6,1,9,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
13,1,1497,1,55,Australia (Women),Grace Harris,Renuka Singh,,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,529270,145.00,78.50,1,0,,38,STRAIGHT BALL,11,LOFTED ON DRIVE,0,0,1,2,10,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
14,2,1497,1,55,Australia (Women),Beth Mooney,Renuka Singh,,3,2,5 (WD),5,0,0,0,0,0,5,1,0,0,0,1,0,0,,,0,2.2,1,1,1,529273,145.00,78.50,5,0,,38,STRAIGHT BALL,40,FRONTFOOT FLICK,0,0,2,2,15,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
15,3,1497,1,55,Australia (Women),Beth Mooney,Renuka Singh,,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,529275,83.50,11.50,1,0,,38,STRAIGHT BALL,97,BACKFOOT PUSH,0,0,3,2,16,0,Outside Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
