,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1600,1,74,Pakistan (Women),Gull Feroza,Renuka Singh,,1,1,1 (LB),1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,0.1,1,1,1,491209,,,1,0,,41,INSWINGER,54,LEG GLANCE,0,0,1,0,1,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
1,2,1600,1,74,Pakistan (Women),Muneeba Ali,Renuka Singh,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,491211,55.50,50.00,0,0,,42,OUTSWINGER,51,FRONTFOOT COVERDRIVE,0,0,2,0,1,0,Off stump,Full Length,0,0,0,0,0,0,0,0
2,3,1600,1,74,Pakistan (Women),Muneeba Ali,Renuka Singh,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,491213,56.50,17.00,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,3,0,1,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
3,4,1600,1,74,Pakistan (Women),Muneeba Ali,Renuka Singh,,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,491215,73.00,-110.50,1,0,,42,OUTSWINGER,44,GLIDE,0,0,4,0,2,0,Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,1600,1,74,Pakistan (Women),Gull Feroza,Renuka Singh,,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,491217,67.50,31.50,1,0,,41,INSWINGER,40,FRONTFOOT FLICK,0,0,5,0,3,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
5,6,1600,1,74,Pakistan (Women),Muneeba Ali,Renuka Singh,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,491219,145.00,-24.50,1,0,,42,OUTSWINGER,36,CUT SHOT,0,0,6,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
6,1,1600,1,74,Pakistan (Women),Muneeba Ali,Pooja Vastrakar,,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,491221,-96.50,-97.50,1,0,,38,STRAIGHT BALL,106,BACKFOOT PULL SHOT,0,0,1,1,5,0,Outside Leg stump,Short of Good Length,1,0,0,0,0,0,0,0
7,2,1600,1,74,Pakistan (Women),Gull Feroza,Pooja Vastrakar,,2,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.2,1,1,0,491223,200.50,66.00,4,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,2,1,9,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
8,3,1600,1,74,Pakistan (Women),Gull Feroza,Pooja Vastrakar,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,491225,-60.00,46.00,0,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,3,1,9,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
9,4,1600,1,74,Pakistan (Women),Gull Feroza,Pooja Vastrakar,,2,4,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,1.4,1,1,0,491226,56.50,104.00,0,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,4,1,9,1,Outside Off stump,Short Length,1,0,0,0,0,0,0,0
