,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,OverNO
11,5,1503,1,54,South Africa (Women),Tazmin Brits,Sajeevan Sajana,,2,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.4,1,1,0,484351,81.00,-130.00,4,0,,25,OFF SPIN,11,LOFTED ON DRIVE,0,0,5,1,15,0,Off stump,Full Length,0,0,0,0,0,0,0,0,
12,6,1503,1,54,South Africa (Women),Tazmin Brits,Sajeevan Sajana,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,484354,81.00,-130.00,0,0,,25,OFF SPIN,52,BACKFOOT COVERDRIVE,0,0,6,1,15,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,
13,7,1503,1,54,South Africa (Women),Tazmin Brits,Sajeevan Sajana,,2,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.6,1,1,0,484355,156.00,-71.00,4,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,7,1,19,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,
14,1,1503,1,54,South Africa (Women),Laura Wolvaardt,Arundhati Reddy,,3,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.1,1,1,0,484358,-61.00,-146.00,4,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,1,2,23,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,
15,2,1503,1,54,South Africa (Women),Laura Wolvaardt,Arundhati Reddy,,3,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.2,1,1,0,484363,-174.00,-47.00,4,0,,38,STRAIGHT BALL,16,BACKFOOT SQUARE DRIVE,0,0,2,2,27,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,
16,3,1503,1,54,South Africa (Women),Laura Wolvaardt,Arundhati Reddy,,3,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.3,1,1,0,484368,187.50,73.50,4,0,,38,STRAIGHT BALL,101,BACKFOOT ON DRIVE,0,0,3,2,31,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,
17,4,1503,1,54,South Africa (Women),Laura Wolvaardt,Arundhati Reddy,,3,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,484371,153.50,-27.50,2,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,4,2,33,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,
18,5,1503,1,54,South Africa (Women),Laura Wolvaardt,Arundhati Reddy,,3,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,484375,-114.00,-42.00,1,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,5,2,34,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,
19,6,1503,1,54,South Africa (Women),Tazmin Brits,Arundhati Reddy,,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,484377,53.50,157.50,1,0,,38,STRAIGHT BALL,27,FORWARD PUSH,0,0,6,2,35,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,
20,1,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,4,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.1,1,1,0,484382,-191.00,83.00,4,0,,25,OFF SPIN,52,BACKFOOT COVERDRIVE,0,0,1,3,39,0,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0,
