,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,OverNO
65,4,1503,1,54,South Africa (Women),Anneke Bosch,Pooja Vastrakar,,11,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,10.4,1,1,0,484491,-118.00,-71.00,1,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,4,10,94,2,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
66,5,1503,1,54,South Africa (Women),Tazmin Brits,Pooja Vastrakar,,11,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,10.5,1,1,0,484494,-89.50,52.50,1,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,5,10,95,2,Outside Off stump,Good Length,0,0,1,0,0,0,0,0,
67,6,1503,1,54,South Africa (Women),Anneke Bosch,Pooja Vastrakar,,11,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,10.6,1,1,0,484495,-69.00,42.00,0,0,,38,STRAIGHT BALL,52,BACKFOOT COVERDRIVE,0,0,6,10,95,2,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
68,1,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,12,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,11.1,1,1,0,484498,191.00,34.00,4,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,1,11,99,2,Outside Off stump,Short of Good Length,1,0,1,0,0,0,0,0,
69,2,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,12,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,11.2,1,1,0,484500,142.50,17.00,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,2,11,100,2,Outside Off stump,Good Length,0,1,2,0,0,1,0,0,
70,3,1503,1,54,South Africa (Women),Anneke Bosch,Shreyanka Patil,,12,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,11.3,1,1,0,484502,-1.50,3.50,0,0,,25,OFF SPIN,50,BACKFOOT DEFENCE,0,0,3,11,100,2,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
71,4,1503,1,54,South Africa (Women),Anneke Bosch,Shreyanka Patil,,12,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,11.4,1,1,0,484504,130.00,-50.00,1,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,4,11,101,2,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,
72,5,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,11.5,1,1,0,484507,-55.00,99.50,0,0,,25,OFF SPIN,84,FRONTFOOT OFF DRIVE,0,0,5,11,101,2,Outside Off stump,Full Length,0,0,2,0,0,0,0,0,
73,6,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,12,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,11.6,1,1,0,484509,-146.00,49.50,1,0,,25,OFF SPIN,52,BACKFOOT COVERDRIVE,0,0,6,11,102,2,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
74,1,1503,1,54,South Africa (Women),Tazmin Brits,Arundhati Reddy,,13,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,12.1,1,1,0,484512,-149.00,-47.50,2,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,1,12,104,2,Outside Off stump,Short of Good Length,1,0,2,0,0,0,0,0,
75,2,1503,1,54,South Africa (Women),Tazmin Brits,Arundhati Reddy,,13,2,1 (BY),1,0,0,0,0,1,1,0,0,1,0,0,0,0,,,0,12.2,1,1,1,484514,-149.00,-47.50,1,0,,38,STRAIGHT BALL,84,FRONTFOOT OFF DRIVE,0,0,2,12,105,2,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
76,3,1503,1,54,South Africa (Women),Anneke Bosch,Arundhati Reddy,,13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,12.3,1,1,0,484515,-38.00,59.50,0,0,,38,STRAIGHT BALL,27,FORWARD PUSH,0,0,3,12,105,2,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
77,4,1503,1,54,South Africa (Women),Anneke Bosch,Arundhati Reddy,,13,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,12.4,1,1,0,484517,-38.00,59.50,0,0,,38,STRAIGHT BALL,99,SCOOP,0,0,4,12,105,2,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,
78,5,1503,1,54,South Africa (Women),Anneke Bosch,Arundhati Reddy,,13,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,12.5,1,1,0,484519,45.00,-148.00,4,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,5,12,109,2,Outside Off stump,Short Length,0,0,2,0,0,0,0,0,
79,6,1503,1,54,South Africa (Women),Anneke Bosch,Arundhati Reddy,,13,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,12.6,1,1,0,484521,-145.50,45.50,1,0,,38,STRAIGHT BALL,52,BACKFOOT COVERDRIVE,0,0,6,12,110,2,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,
80,1,1503,1,54,South Africa (Women),Anneke Bosch,Deepti Sharma,,14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,13.1,1,1,0,484524,51.50,177.00,1,0,,25,OFF SPIN,74,STEP DOWN ON DRIVE,0,0,1,13,111,2,Off stump,Full Length,1,0,2,0,0,0,0,0,
81,2,1503,1,54,South Africa (Women),Tazmin Brits,Deepti Sharma,,14,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,13.2,1,1,0,484526,114.00,82.00,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,2,13,112,2,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
82,3,1503,1,54,South Africa (Women),Anneke Bosch,Deepti Sharma,,14,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,13.3,1,1,0,484528,-76.50,35.00,1,0,,25,OFF SPIN,52,BACKFOOT COVERDRIVE,0,0,3,13,113,2,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,
83,4,1503,1,54,South Africa (Women),Tazmin Brits,Deepti Sharma,,14,4,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Stumped,WICKET,1,13.4,1,1,0,484530,-76.50,35.00,0,0,,25,OFF SPIN,94,STEP DOWN LOFTED ON DRIVE,0,0,4,13,113,3,Outside Off stump,Good Length,1,0,2,0,0,0,0,0,
84,5,1503,1,54,South Africa (Women),Chloe Tryon,Deepti Sharma,,14,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,13.5,1,1,0,484532,-54.50,107.50,0,0,,25,OFF SPIN,6,BACKFOOT OFF DRIVE,0,0,5,13,113,3,Outside Off stump,Good Length,2,0,2,0,0,0,0,0,
85,6,1503,1,54,South Africa (Women),Chloe Tryon,Deepti Sharma,,14,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,13.6,1,1,0,484534,-150.50,-27.50,1,0,,25,OFF SPIN,16,BACKFOOT SQUARE DRIVE,0,0,6,13,114,3,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,
86,1,1503,1,54,South Africa (Women),Chloe Tryon,Arundhati Reddy,,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,14.1,1,1,0,484537,86.50,172.00,1,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,1,14,115,3,Outside Off stump,Short of Good Length,1,0,2,0,0,0,0,0,
87,2,1503,1,54,South Africa (Women),Anneke Bosch,Arundhati Reddy,,15,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,14.2,1,1,0,484538,-93.50,-18.50,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,2,14,115,3,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
88,3,1503,1,54,South Africa (Women),Anneke Bosch,Arundhati Reddy,,15,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,14.3,1,1,0,484540,145.00,-21.00,1,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,3,14,116,3,Outside Off stump,Short Length,0,0,2,0,0,0,0,0,
89,4,1503,1,54,South Africa (Women),Chloe Tryon,Arundhati Reddy,,15,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,14.4,1,1,0,484542,-68.50,218.00,4,0,,47,SLOWER BALL,84,FRONTFOOT OFF DRIVE,0,0,4,14,120,3,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
90,5,1503,1,54,South Africa (Women),Chloe Tryon,Arundhati Reddy,,15,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,14.5,1,1,0,484544,-68.50,218.00,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,5,14,120,3,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,
91,6,1503,1,54,South Africa (Women),Chloe Tryon,Arundhati Reddy,,15,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,14.6,1,1,0,484545,-152.00,54.50,1,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,6,14,121,3,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
92,1,1503,1,54,South Africa (Women),Chloe Tryon,Radha Yadav,,16,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,15.1,1,1,0,484548,160.50,-57.00,4,0,,10,ORTHODOX,58,BACKFOOT PULL SHOT,0,0,1,15,125,3,Outside Off stump,Short of Good Length,1,0,2,0,0,0,0,0,
93,2,1503,1,54,South Africa (Women),Chloe Tryon,Radha Yadav,,16,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,15.2,1,1,0,484550,-60.00,89.00,1,0,,10,ORTHODOX,6,BACKFOOT OFF DRIVE,0,0,2,15,126,3,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
94,3,1503,1,54,South Africa (Women),Anneke Bosch,Radha Yadav,,16,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,15.3,1,1,0,484552,154.50,-77.50,4,0,,10,ORTHODOX,22,FRONTFOOT PADDLE SWEEP,0,0,3,15,130,3,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
95,4,1503,1,54,South Africa (Women),Anneke Bosch,Radha Yadav,,16,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,15.4,1,1,0,484554,-149.50,45.00,1,0,,10,ORTHODOX,36,CUT SHOT,0,0,4,15,131,3,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
96,5,1503,1,54,South Africa (Women),Chloe Tryon,Radha Yadav,,16,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,15.5,1,1,0,484555,-149.50,45.00,0,0,,10,ORTHODOX,55,SWEEP SHOT,0,0,5,15,131,3,Leg stump,Good Length,0,0,2,0,0,0,0,0,
97,6,1503,1,54,South Africa (Women),Chloe Tryon,Radha Yadav,,16,6,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught & Bowled,WICKET,1,15.6,1,1,0,484556,-20.50,76.00,0,0,,10,ORTHODOX,69,STEP DOWN LOFTED STRAIGHT DRIVE,0,0,6,15,131,4,Off stump,Good Length,1,0,2,0,0,0,0,0,
98,1,1503,1,54,South Africa (Women),Anneke Bosch,Deepti Sharma,,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,16.1,1,1,0,484562,-11.50,66.50,0,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,1,16,131,4,Outside Off stump,Good Length,2,0,2,0,0,0,0,0,
99,2,1503,1,54,South Africa (Women),Anneke Bosch,Deepti Sharma,,17,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,16.2,1,1,0,484563,134.00,-30.00,1,0,,25,OFF SPIN,54,LEG GLANCE,0,0,2,16,132,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
100,3,1503,1,54,South Africa (Women),Nadine De Klerk,Deepti Sharma,,17,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,16.3,1,1,0,484564,136.00,9.50,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,3,16,133,4,Off stump,Short of Good Length,0,0,2,0,0,0,0,0,
101,4,1503,1,54,South Africa (Women),Anneke Bosch,Deepti Sharma,,17,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,16.4,1,1,0,484566,138.00,-20.50,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,4,16,134,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
102,5,1503,1,54,South Africa (Women),Nadine De Klerk,Deepti Sharma,,17,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,16.5,1,1,0,484567,50.50,41.00,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,5,16,135,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
103,6,1503,1,54,South Africa (Women),Anneke Bosch,Deepti Sharma,,17,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,16.6,1,1,0,484569,-11.00,224.50,4,0,,25,OFF SPIN,69,STEP DOWN LOFTED STRAIGHT DRIVE,0,0,6,16,139,4,Outside Off stump,Full Length,0,0,2,0,0,0,0,0,
104,1,1503,1,54,South Africa (Women),Nadine De Klerk,Arundhati Reddy,,18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,17.1,1,1,0,484571,-147.50,49.50,1,0,,38,STRAIGHT BALL,52,BACKFOOT COVERDRIVE,0,0,1,17,140,4,Outside Off stump,Good Length,1,0,2,0,0,0,0,0,
105,2,1503,1,54,South Africa (Women),Anneke Bosch,Arundhati Reddy,,18,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,17.2,1,1,0,484572,-156.00,65.50,1,0,,38,STRAIGHT BALL,52,BACKFOOT COVERDRIVE,0,0,2,17,141,4,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,
106,3,1503,1,54,South Africa (Women),Nadine De Klerk,Arundhati Reddy,,18,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,17.3,1,1,0,484574,145.00,37.50,1,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,3,17,142,4,Off stump,Good Length,0,0,2,0,0,0,0,0,
107,4,1503,1,54,South Africa (Women),Anneke Bosch,Arundhati Reddy,,18,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,17.4,1,1,0,484576,-29.00,-131.50,2,0,,38,STRAIGHT BALL,99,SCOOP,0,0,4,17,144,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
108,5,1503,1,54,South Africa (Women),Anneke Bosch,Arundhati Reddy,,18,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,17.5,1,1,0,484577,-73.00,35.50,1,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,5,17,145,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,
109,6,1503,1,54,South Africa (Women),Nadine De Klerk,Arundhati Reddy,,18,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,17.6,1,1,0,484579,154.50,57.00,1,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,6,17,146,4,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,
110,1,1503,1,54,South Africa (Women),Nadine De Klerk,Shreyanka Patil,,19,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,18.1,1,1,0,484581,182.00,52.50,4,0,,25,OFF SPIN,95,SLOG SWEEP,0,0,1,18,150,4,Off stump,Good Length,1,1,3,0,0,0,0,0,
111,2,1503,1,54,South Africa (Women),Nadine De Klerk,Shreyanka Patil,,19,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,18.2,1,1,0,484583,155.00,-76.00,4,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,2,18,154,4,Outside Leg stump,Short of Good Length,0,0,3,0,0,0,0,0,
112,3,1503,1,54,South Africa (Women),Nadine De Klerk,Shreyanka Patil,,19,3,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,18.3,1,1,1,484585,155.00,-76.00,1,0,,25,OFF SPIN,105,LEFT ALONE,0,0,3,18,155,4,Outside Off stump,Good Length,0,0,3,0,0,0,0,0,
113,4,1503,1,54,South Africa (Women),Nadine De Klerk,Shreyanka Patil,,19,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,18.3,1,1,0,484587,156.50,78.00,1,0,,25,OFF SPIN,18,SLOG SHOT,0,0,4,18,156,4,Off stump,Good Length,0,0,3,0,0,0,0,0,
114,5,1503,1,54,South Africa (Women),Anneke Bosch,Shreyanka Patil,,19,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,18.4,1,1,0,484589,142.00,161.00,4,0,,25,OFF SPIN,94,STEP DOWN LOFTED ON DRIVE,0,0,5,18,160,4,Outside Off stump,Good Length,0,0,3,0,0,0,0,0,
115,6,1503,1,54,South Africa (Women),Anneke Bosch,Shreyanka Patil,,19,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,18.5,1,1,0,484591,-175.00,139.50,4,0,,25,OFF SPIN,114,STEP DOWN LOFTED COVER DRIVE,0,0,6,18,164,4,Outside Off stump,Good Length,0,0,3,0,0,0,0,0,
116,7,1503,1,54,South Africa (Women),Anneke Bosch,Shreyanka Patil,,19,6,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Bowled,WICKET,1,18.6,1,1,0,484593,-175.00,139.50,0,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,7,18,164,5,Outside Leg stump,Short of Good Length,1,0,3,0,0,0,0,0,
117,1,1503,1,54,South Africa (Women),Nadine De Klerk,Pooja Vastrakar,,20,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,19.1,1,1,0,484594,38.00,109.00,0,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,1,19,164,6,Outside Off stump,Short Length,2,0,3,0,0,0,0,0,
118,2,1503,1,54,South Africa (Women),Eliz mari Marx,Pooja Vastrakar,,20,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,19.2,1,1,0,484595,38.00,109.00,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,2,19,164,6,Outside Off stump,Short Length,3,0,3,0,0,0,0,0,
119,3,1503,1,54,South Africa (Women),Eliz mari Marx,Pooja Vastrakar,,20,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,19.3,1,1,0,484596,-54.00,21.50,1,0,,39,ANGLED IN,58,BACKFOOT PULL SHOT,0,0,3,19,165,6,Outside Off stump,Short of Good Length,0,0,3,0,0,0,0,0,
120,4,1503,1,54,South Africa (Women),Annerie Dercksen,Pooja Vastrakar,,20,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,19.4,1,1,0,484597,188.00,47.50,4,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,4,19,169,6,Outside Off stump,Short Length,0,0,3,0,0,0,0,0,
121,5,1503,1,54,South Africa (Women),Annerie Dercksen,Pooja Vastrakar,,20,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,19.5,1,1,0,484598,-178.50,119.00,4,0,,39,ANGLED IN,51,FRONTFOOT COVERDRIVE,0,0,5,19,173,6,Outside Off stump,Full Toss,0,0,3,0,0,0,0,0,
122,6,1503,1,54,South Africa (Women),Annerie Dercksen,Pooja Vastrakar,,20,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,19.6,1,1,0,484599,-122.50,183.00,4,0,,38,STRAIGHT BALL,5,LOFTED OFF DRIVE,0,0,6,19,177,6,Outside Off stump,Short of Good Length,0,0,3,0,0,0,0,0,
124,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,0,,0,0,,,,,,,,,,,0
