,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1502,1,54,South Africa (Women),Laura Wolvaardt,Renuka Singh,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,482628,29.50,124.00,0,0,,41,INSWINGER,47,FRONTFOOT ON DRIVE,0,0,1,0,0,0,Off stump,Good Length,1,0,0,0,0,0,0,0
1,2,1502,1,54,South Africa (Women),Laura Wolvaardt,Renuka Singh,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,482629,-49.00,100.50,0,0,,38,STRAIGHT BALL,84,FRONTFOOT OFF DRIVE,0,0,2,0,0,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,1502,1,54,South Africa (Women),Laura Wolvaardt,Renuka Singh,,1,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.3,1,1,0,482630,-17.00,232.50,4,0,,38,STRAIGHT BALL,69,STEP DOWN LOFTED STRAIGHT DRIVE,0,0,3,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
3,4,1502,1,54,South Africa (Women),Laura Wolvaardt,Renuka Singh,,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,482631,122.50,-62.00,1,0,,39,ANGLED IN,54,LEG GLANCE,0,0,4,0,5,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
4,5,1502,1,54,South Africa (Women),Tazmin Brits,Renuka Singh,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,482632,122.50,-62.00,0,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,5,0,5,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
5,6,1502,1,54,South Africa (Women),Tazmin Brits,Renuka Singh,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,482633,44.00,115.50,0,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,6,0,5,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
7,1,1502,1,54,South Africa (Women),Laura Wolvaardt,Pooja Vastrakar,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,482634,44.00,115.50,0,0,,42,OUTSWINGER,51,FRONTFOOT COVERDRIVE,0,0,1,1,5,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
8,2,1502,1,54,South Africa (Women),Laura Wolvaardt,Pooja Vastrakar,,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,482635,127.00,-54.50,1,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,2,1,6,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
9,3,1502,1,54,South Africa (Women),Tazmin Brits,Pooja Vastrakar,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,482636,127.00,-54.50,0,0,,38,STRAIGHT BALL,18,SLOG SHOT,0,0,3,1,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
10,4,1502,1,54,South Africa (Women),Tazmin Brits,Pooja Vastrakar,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,482637,127.00,-54.50,0,0,,38,STRAIGHT BALL,27,FORWARD PUSH,0,0,4,1,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
