is_deleted,start_date,day_night,gmt_offset,group,league,league_id,live,live_coverage,comp_type_id,comp_type,match_id,match_file,match_number,match_result,match_status,match_date_gmt,match_date_ist,match_date_local,match_time_gmt,match_time_ist,match_time_local,end_match_date_gmt,end_match_date_ist,end_match_date_local,end_match_time_gmt,end_match_time_ist,end_match_time_local,match_type,priority,recent,series_id,series_name,series_start_date,series_end_date,stage,teama_id,teama,teama_short,teama_display_name,teama_short_display_name,teamb_id,teamb,teamb_short,teamb_display_name,teamb_short_display_name,tour_id,tour_name,upcoming,venue,venue_id,country_id,country,country_short_code,winning_margin,winning_team_id,toss_elected_to,toss_won_by,series_short_display_name,series_type,teama_has_squads,teamb_has_squads,parent_id,parent_name,has_standings,match_status_id,match_ordinal,coverage_level_id,coverage_level,championship_id,championship_name,audience_id,audience_type,series_status,current_innings,has_super_over,match_sub_status,parent_championship_id,parent_championship_name,parent_championship_short_name,championship_short_name,league_type,league_type_id,award,is_provisional_date,is_provisional_time,is_provisional_series_date,inning_1_team_id,inning_1_team_name,inning_1_team_short_name,inning_1_team_display_name,inning_1_team_short_display_name,inning_1_team_runs,inning_1_team_wickets,inning_1_team_overs,inning_1_run_rate,inning_2_team_id,inning_2_team_name,inning_2_team_short_name,inning_2_team_display_name,inning_2_team_short_display_name,inning_2_team_runs,inning_2_team_wickets,inning_2_team_overs,inning_2_run_rate,inning_2_target,inning_1_target,match_center,watch_live,high_light,blacklisted_countries,whitelisted_countries,ticket_link
False,4/3/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3018,winz040319963018,4th ODI,New Zealand beat West Indies by 4 runs,Match Ended,4/3/1996,4/3/1996,4/3/1996,00:00,05:30,00:00,4/3/1996,4/3/1996,4/3/1996,08:00,13:30,08:00,ODI,1,True,568,"New Zealand in West Indies, 5 ODI Series",3/26/1996,4/6/1996,,9,West Indies,WI,West Indies,WI,5,New Zealand,NZ,New Zealand,NZ,5643,"New Zealnd tour of West Indies, 1995",False,"Bourda, Georgetown, Guyana",19,115,Guyana,GUY,4 runs,5,field,9,,Series,False,False,,,False,114,4,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,5,New Zealand,NZ,New Zealand,NZ,158,10,35.5,4.40,9,West Indies,WI,West Indies,WI,154,10,49.1,3.13,,,,,,,,
False,4/5/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3019,inpk040519963019,"League, Match 3",Pakistan beat India by 8 wickets,Match Ended,4/5/1996,4/5/1996,4/5/1996,00:00,05:30,00:00,4/5/1996,4/5/1996,4/5/1996,08:00,13:30,08:00,ODI,1,True,569,Singer Cup,4/1/1996,4/7/1996,,4,India,IND,India,IND,6,Pakistan,PAK,Pakistan,PAK,5419,"Singer Cup,1996",False,Singapore National Cricket Ground,157,210,Singapore,SIN,8 wickets,6,field,6,,Tournament,False,False,,,False,114,4,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,4,India,IND,India,IND,226,8,47.1,4.79,6,Pakistan,PAK,Pakistan,PAK,190,2,28,6.78,187,,,,,,,
False,4/6/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3020,winz040619963020,5th ODI,West Indies beat New Zealand by 7 wickets,Match Ended,4/6/1996,4/6/1996,4/6/1996,00:00,05:30,00:00,4/6/1996,4/6/1996,4/6/1996,08:00,13:30,08:00,ODI,1,True,568,"New Zealand in West Indies, 5 ODI Series",3/26/1996,4/6/1996,,9,West Indies,WI,West Indies,WI,5,New Zealand,NZ,New Zealand,NZ,5643,"New Zealnd tour of West Indies, 1995",False,"Arnos Vale Ground, Arnos Vale, St Vincent",6,9,West Indies,WI,7 wickets,9,field,9,,Series,False,False,,,False,114,5,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,5,New Zealand,NZ,New Zealand,NZ,241,8,50,4.81,9,West Indies,WI,West Indies,WI,242,3,48.3,4.98,,,,,,,,
False,4/7/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3021,pksl040719963021,Final,Pakistan beat Sri Lanka by 43 runs,Match Ended,4/7/1996,4/7/1996,4/7/1996,00:00,05:30,00:00,4/7/1996,4/7/1996,4/7/1996,08:00,13:30,08:00,ODI,1,True,569,Singer Cup,4/1/1996,4/7/1996,,6,Pakistan,PAK,Pakistan,PAK,8,Sri Lanka,SL,Sri Lanka,SL,5419,"Singer Cup,1996",False,Singapore National Cricket Ground,157,210,Singapore,SIN,43 runs,6,field,8,,Tournament,False,False,,,False,114,5,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,6,Pakistan,PAK,Pakistan,PAK,215,10,48.3,4.43,8,Sri Lanka,SL,Sri Lanka,SL,172,10,32.5,5.23,,,,,,,,
False,4/12/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3022,pkin041219963022,"League, Match 1",Pakistan beat India by 38 runs,Match Ended,4/12/1996,4/12/1996,4/12/1996,00:00,05:30,00:00,4/12/1996,4/12/1996,4/12/1996,08:00,13:30,08:00,ODI,1,True,570,Sharjah Cup,4/12/1996,4/19/1996,,6,Pakistan,PAK,Pakistan,PAK,4,India,IND,India,IND,5420,"Pepsi Sharjah Cup, 1996",False,"Sharjah Cricket Stadium, Sharjah",143,19,United Arab Emirates,UAE,38 runs,6,field,4,,Tournament,False,False,,,False,114,1,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,6,Pakistan,PAK,Pakistan,PAK,271,5,50,5.41,4,India,IND,India,IND,233,10,47.2,4.92,,,,,,,,
False,4/13/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3024,wisl041319963024,Only ODI,Sri Lanka beat West Indies by 35 runs,Match Ended,4/13/1996,4/13/1996,4/13/1996,00:00,05:30,00:00,4/13/1996,4/13/1996,4/13/1996,08:00,13:30,08:00,ODI,1,True,571,"Sri Lanka in West Indies, 1 ODI Series",4/13/1996,4/13/1996,,9,West Indies,WI,West Indies,WI,8,Sri Lanka,SL,Sri Lanka,SL,5421,"Sri Lanka tour of West Indies, 1996",False,"Queen's Park Oval, Port of Spain, Trinidad",127,9,West Indies,WI,35 runs,8,bat,8,,Series,False,False,,,False,114,1,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,8,Sri Lanka,SL,Sri Lanka,SL,251,10,48.3,5.17,9,West Indies,WI,West Indies,WI,216,9,50,4.32,,,,,,,,
False,4/13/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3023,sapk041319963023,"League, Match 2",South Africa beat Pakistan by 143 runs,Match Ended,4/13/1996,4/13/1996,4/13/1996,00:00,05:30,00:00,4/13/1996,4/13/1996,4/13/1996,08:00,13:30,08:00,ODI,1,True,570,Sharjah Cup,4/12/1996,4/19/1996,,7,South Africa,SA,South Africa,SA,6,Pakistan,PAK,Pakistan,PAK,5420,"Pepsi Sharjah Cup, 1996",False,"Sharjah Cricket Stadium, Sharjah",143,19,United Arab Emirates,UAE,143 runs,7,bat,7,,Tournament,False,False,,,False,114,2,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,7,South Africa,SA,South Africa,SA,314,3,50,6.28,6,Pakistan,PAK,Pakistan,PAK,171,7,50,3.42,,,,,,,,
False,4/14/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3025,sain041419963025,"League, Match 3",South Africa beat India by 80 runs,Match Ended,4/14/1996,4/14/1996,4/14/1996,00:00,05:30,00:00,4/14/1996,4/14/1996,4/14/1996,08:00,13:30,08:00,ODI,1,True,570,Sharjah Cup,4/12/1996,4/19/1996,,7,South Africa,SA,South Africa,SA,4,India,IND,India,IND,5420,"Pepsi Sharjah Cup, 1996",False,"Sharjah Cricket Stadium, Sharjah",143,19,United Arab Emirates,UAE,80 runs,7,bat,7,,Tournament,False,False,,,False,114,3,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,7,South Africa,SA,South Africa,SA,288,6,50,5.76,4,India,IND,India,IND,208,8,50,4.15,,,,,,,,
False,4/15/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3026,inpk041519963026,"League, Match 4",India beat Pakistan by 28 runs,Match Ended,4/15/1996,4/15/1996,4/15/1996,00:00,05:30,00:00,4/15/1996,4/15/1996,4/15/1996,08:00,13:30,08:00,ODI,1,True,570,Sharjah Cup,4/12/1996,4/19/1996,,4,India,IND,India,IND,6,Pakistan,PAK,Pakistan,PAK,5420,"Pepsi Sharjah Cup, 1996",False,"Sharjah Cricket Stadium, Sharjah",143,19,United Arab Emirates,UAE,28 runs,4,bat,4,,Tournament,False,False,,,False,114,4,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,4,India,IND,India,IND,305,5,50,6.10,6,Pakistan,PAK,Pakistan,PAK,277,10,46.1,6,,,,,,,,
False,4/16/1996T05:30:00+05:30,False,,,ICC,1,False,False,2,ODI International - m,3027,pksa041619963027,"League, Match 5",South Africa beat Pakistan by 8 wickets,Match Ended,4/16/1996,4/16/1996,4/16/1996,00:00,05:30,00:00,4/16/1996,4/16/1996,4/16/1996,08:00,13:30,08:00,ODI,1,True,570,Sharjah Cup,4/12/1996,4/19/1996,,6,Pakistan,PAK,Pakistan,PAK,7,South Africa,SA,South Africa,SA,5420,"Pepsi Sharjah Cup, 1996",False,"Sharjah Cricket Stadium, Sharjah",143,19,United Arab Emirates,UAE,8 wickets,7,bat,6,,Tournament,False,False,,,False,114,5,1,End of Match (within 24 hours),,,,,,2,False,,,,,,,,,,,,6,Pakistan,PAK,Pakistan,PAK,188,10,45,4.17,7,South Africa,SA,South Africa,SA,189,2,33.1,5.69,,,,,,,,
