,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1349,1,10,Zimbabwe,Wesley Madhevere,Khaleel Ahmed,,1,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.1,1,1,0,483232,11.00,237.00,4,0,,41,INSWINGER,53,FRONTFOOT STRAIGHT DRIVE,0,0,1,0,4,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
1,2,1349,1,10,Zimbabwe,Wesley Madhevere,Khaleel Ahmed,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,483233,11.00,237.00,0,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,2,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,1349,1,10,Zimbabwe,Wesley Madhevere,Khaleel Ahmed,,1,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,483235,42.00,-124.00,2,0,,41,INSWINGER,49,FORWARD DEFENCE,0,0,3,0,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
3,4,1349,1,10,Zimbabwe,Wesley Madhevere,Khaleel Ahmed,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,483237,24.50,59.00,0,0,,41,INSWINGER,49,FORWARD DEFENCE,0,0,4,0,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,1349,1,10,Zimbabwe,Wesley Madhevere,Khaleel Ahmed,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,483238,24.50,59.00,0,0,,42,OUTSWINGER,51,FRONTFOOT COVERDRIVE,0,0,5,0,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
5,6,1349,1,10,Zimbabwe,Wesley Madhevere,Khaleel Ahmed,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,483241,24.50,59.00,0,0,,42,OUTSWINGER,36,CUT SHOT,0,0,6,0,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
7,1,1349,1,10,Zimbabwe,Innocent Kaia,Mukesh Kumar,,2,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Bowled,WICKET,1,1.1,1,1,0,483244,,,0,0,,41,INSWINGER,51,FRONTFOOT COVERDRIVE,0,0,1,1,6,1,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
8,2,1349,1,10,Zimbabwe,Brian Bennett,Mukesh Kumar,,2,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.2,1,1,0,483245,-188.00,-19.50,4,0,,42,OUTSWINGER,59,FRONTFOOT SQUARE DRIVE,0,0,2,1,10,1,Wide outside Off stump,Full Length,2,0,0,0,0,0,0,0
9,3,1349,1,10,Zimbabwe,Brian Bennett,Mukesh Kumar,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,483247,32.50,59.00,0,0,,41,INSWINGER,49,FORWARD DEFENCE,0,0,3,1,10,1,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
10,4,1349,1,10,Zimbabwe,Brian Bennett,Mukesh Kumar,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,483249,45.50,43.00,0,0,,41,INSWINGER,97,BACKFOOT PUSH,0,0,4,1,10,1,Off stump,Good Length,0,0,0,0,0,0,0,0
