,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1567,1,11,Bangladesh,Parvez Hossain Emon,Arshdeep Singh,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,528074,48.50,107.50,0,0,,42,OUTSWINGER,27,FORWARD PUSH,0,0,1,0,0,0,Off stump,Good Length,1,0,0,0,0,0,0,0
1,2,1567,1,11,Bangladesh,Parvez Hossain Emon,Arshdeep Singh,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,528075,74.50,-22.00,0,0,,42,OUTSWINGER,59,FRONTFOOT SQUARE DRIVE,0,0,2,0,0,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,1567,1,11,Bangladesh,Parvez Hossain Emon,Arshdeep Singh,,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,528076,-57.50,110.00,1,0,,42,OUTSWINGER,47,FRONTFOOT ON DRIVE,0,0,3,0,1,0,Middle stump,Full Length,0,0,0,0,0,0,0,0
3,4,1567,1,11,Bangladesh,Litton Das,Arshdeep Singh,,1,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.4,1,1,0,528077,-123.00,-111.00,4,0,,30,ANGLED ACROSS,44,GLIDE,0,0,4,0,5,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,1567,1,11,Bangladesh,Litton Das,Arshdeep Singh,,1,5,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,0.5,1,1,0,528078,-48.00,6.00,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/Bangladesh-tour-of-India-T20-series-2024/India-VS-Bangladesh-(06-Oct-2024)/File_1-1-528078.png,30,ANGLED ACROSS,11,LOFTED ON DRIVE,0,0,5,0,5,1,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
5,6,1567,1,11,Bangladesh,Najmul Hossain Shanto,Arshdeep Singh,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,528079,45.00,109.50,1,0,,42,OUTSWINGER,27,FORWARD PUSH,0,0,6,0,6,1,Outside Off stump,Full Length,2,0,0,0,0,0,0,0
6,1,1567,1,11,Bangladesh,Najmul Hossain Shanto,Hardik Pandya,,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,528080,-132.50,-47.00,1,0,,38,STRAIGHT BALL,97,BACKFOOT PUSH,0,0,1,1,7,1,Outside Leg stump,Short of Good Length,3,0,0,0,0,0,0,0
7,2,1567,1,11,Bangladesh,Parvez Hossain Emon,Hardik Pandya,,2,2,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1.2,1,1,0,528081,-176.00,-64.50,6,0,,38,STRAIGHT BALL,40,FRONTFOOT FLICK,0,0,2,1,13,1,Outside Leg stump,Full Length,0,0,0,0,0,0,0,0
8,3,1567,1,11,Bangladesh,Parvez Hossain Emon,Hardik Pandya,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,528082,-176.00,-64.50,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,3,1,13,1,Outside Leg stump,Short Length,0,0,0,0,0,0,0,0
9,4,1567,1,11,Bangladesh,Parvez Hossain Emon,Hardik Pandya,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,528083,76.50,-19.00,0,0,,38,STRAIGHT BALL,49,FORWARD DEFENCE,0,0,4,1,13,1,Off stump,Good Length,0,0,0,0,0,0,0,0
10,5,1567,1,11,Bangladesh,Parvez Hossain Emon,Hardik Pandya,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,528084,76.50,-19.00,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,5,1,13,1,Leg stump,Short Length,0,0,0,0,0,0,0,0
11,6,1567,1,11,Bangladesh,Parvez Hossain Emon,Hardik Pandya,,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,528085,48.00,96.50,1,0,,38,STRAIGHT BALL,84,FRONTFOOT OFF DRIVE,0,0,6,1,14,1,Off stump,Full Toss,0,0,0,0,0,0,0,0
12,1,1567,1,11,Bangladesh,Parvez Hossain Emon,Arshdeep Singh,,3,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Bowled,WICKET,1,2.1,1,1,0,528086,48.00,96.50,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,1,2,14,2,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
13,2,1567,1,11,Bangladesh,Towhid Hridoy,Arshdeep Singh,,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,528087,-105.50,-83.00,1,0,,30,ANGLED ACROSS,44,GLIDE,0,0,2,2,15,2,Outside Off stump,Good Length,2,0,0,0,0,0,0,0
14,3,1567,1,11,Bangladesh,Najmul Hossain Shanto,Arshdeep Singh,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,528088,-105.50,-83.00,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,3,2,15,2,Outside Off stump,Short Length,0,0,0,0,0,0,0,0
15,4,1567,1,11,Bangladesh,Najmul Hossain Shanto,Arshdeep Singh,,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,528089,-50.00,91.50,1,0,,47,SLOWER BALL,27,FORWARD PUSH,0,0,4,2,16,2,Off stump,Yorker,0,0,0,0,0,0,0,0
16,5,1567,1,11,Bangladesh,Towhid Hridoy,Arshdeep Singh,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,528090,-72.50,1.50,0,0,,38,STRAIGHT BALL,27,FORWARD PUSH,0,0,5,2,16,2,Off stump,Good Length,0,0,0,0,0,0,0,0
17,6,1567,1,11,Bangladesh,Towhid Hridoy,Arshdeep Singh,,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,528091,-72.50,1.50,0,0,,30,ANGLED ACROSS,105,LEFT ALONE,0,0,6,2,16,2,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
19,1,1567,1,11,Bangladesh,Najmul Hossain Shanto,Hardik Pandya,,4,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.1,1,1,0,528092,-205.50,83.50,4,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,1,3,20,2,Outside Leg stump,Short Length,1,0,0,0,0,0,0,0
