,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,269,1,1,India,Rohit Sharma,Stuart Broad,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,113311,-87.79,8.42,0,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,269,1,1,India,Rohit Sharma,Stuart Broad,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,113312,-87.79,8.42,0,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,3,269,1,1,India,Rohit Sharma,Stuart Broad,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,113313,-87.79,8.42,0,0,,39,ANGLED IN,40,FLICK,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3,4,269,1,1,India,Rohit Sharma,Stuart Broad,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,113314,-54.18,46.63,0,0,,38,STRAIGHT BALL,27,FORWARD PUSH,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4,5,269,1,1,India,Rohit Sharma,Stuart Broad,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,113315,-54.64,12.56,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5,6,269,1,1,India,Rohit Sharma,Stuart Broad,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,113316,-54.64,12.56,0,0,,43,NIPBACKER,105,LEFT ALONE,0,0,6,0,0,0,0,0,0,0,0,0,0,0
6,1,269,1,1,India,Shubman Gill,Olly Stone,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,113317,-4.91,19.47,0,0,,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,1,1,0,0,1,0,0,0,0,0,0,0
7,2,269,1,1,India,Shubman Gill,Olly Stone,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,113318,-44.05,3.35,0,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,2,1,0,0,0,0,0,0,0,0,0,0
8,3,269,1,1,India,Shubman Gill,Olly Stone,,2,3,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Leg Before Wicket,WICKET,1,1.3,1,1,0,113319,-44.05,3.35,0,0,,43,NIPBACKER,105,LEFT ALONE,0,0,3,1,0,1,1,0,0,0,0,0,0,0
9,4,269,1,1,India,Cheteshwar Pujara,Olly Stone,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,113320,32.38,32.82,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,4,1,0,1,2,0,0,0,0,0,0,0
10,5,269,1,1,India,Cheteshwar Pujara,Olly Stone,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,113321,49.88,54.00,0,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,5,1,0,1,0,0,0,0,0,0,0,0
11,6,269,1,1,India,Cheteshwar Pujara,Olly Stone,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,113322,49.88,54.00,0,0,,39,ANGLED IN,105,LEFT ALONE,0,0,6,1,0,1,0,0,0,0,0,0,0,0
12,1,269,1,1,India,Rohit Sharma,Stuart Broad,,3,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.1,1,1,0,113323,-176.19,68.27,4,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,1,2,4,1,1,0,0,0,0,0,0,0
13,2,269,1,1,India,Rohit Sharma,Stuart Broad,,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,113324,74.28,-20.13,1,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,2,2,5,1,0,0,0,0,0,0,0,0
14,3,269,1,1,India,Cheteshwar Pujara,Stuart Broad,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,113325,-43.59,13.48,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,3,2,5,1,0,0,0,0,0,0,0,0
15,4,269,1,1,India,Cheteshwar Pujara,Stuart Broad,,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,113326,49.88,23.15,0,0,,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,4,2,5,1,0,0,0,0,0,0,0,0
16,5,269,1,1,India,Cheteshwar Pujara,Stuart Broad,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,113327,30.54,6.58,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,5,2,5,1,0,0,0,0,0,0,0,0
17,6,269,1,1,India,Cheteshwar Pujara,Stuart Broad,,3,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.6,1,1,0,113328,-81.80,-126.03,4,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,6,2,9,1,0,0,0,0,0,0,0,0
18,1,269,1,1,India,Rohit Sharma,Olly Stone,,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.1,1,1,0,113329,-17.80,130.43,1,0,,39,ANGLED IN,53,STRAIGHT DRIVE,0,0,1,3,10,1,1,0,0,0,0,0,0,0
19,2,269,1,1,India,Cheteshwar Pujara,Olly Stone,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.2,1,1,0,113330,-17.80,130.43,0,0,,39,ANGLED IN,105,LEFT ALONE,0,0,2,3,10,1,0,0,0,0,0,0,0,0
20,3,269,1,1,India,Cheteshwar Pujara,Olly Stone,,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,113331,-40.82,11.18,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,3,3,10,1,0,0,0,0,0,0,0,0
21,4,269,1,1,India,Cheteshwar Pujara,Olly Stone,,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.4,1,1,0,113332,-40.82,11.18,0,0,,36,BOUNCER,105,LEFT ALONE,1,0,4,3,10,1,0,0,0,0,0,0,0,0
22,5,269,1,1,India,Cheteshwar Pujara,Olly Stone,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.5,1,1,0,113333,49.42,108.79,0,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,5,3,10,1,0,0,0,0,0,0,0,0
23,6,269,1,1,India,Cheteshwar Pujara,Olly Stone,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,1,1,0,113334,49.42,108.79,0,0,,39,ANGLED IN,105,LEFT ALONE,0,0,6,3,10,1,0,0,0,0,0,0,0,0
24,1,269,1,1,India,Rohit Sharma,Stuart Broad,,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.1,1,1,0,113335,-36.22,20.39,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,1,4,10,1,1,0,0,0,0,0,0,0
25,2,269,1,1,India,Rohit Sharma,Stuart Broad,,5,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,4.2,1,1,0,113336,-129.23,26.37,2,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,2,4,12,1,0,0,0,0,0,0,0,0
26,3,269,1,1,India,Rohit Sharma,Stuart Broad,,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.3,1,1,0,113337,-41.28,26.83,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,3,4,12,1,0,0,0,0,0,0,0,0
27,4,269,1,1,India,Rohit Sharma,Stuart Broad,,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.4,1,1,0,113338,-41.28,26.83,0,0,,39,ANGLED IN,105,LEFT ALONE,0,0,4,4,12,1,0,0,0,0,0,0,0,0
28,5,269,1,1,India,Rohit Sharma,Stuart Broad,,5,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.5,1,1,0,113339,-41.28,208.24,4,0,,39,ANGLED IN,84,OFF DRIVE,0,0,5,4,16,1,0,0,0,0,0,0,0,0
29,6,269,1,1,India,Rohit Sharma,Stuart Broad,,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.6,1,1,0,113340,-41.28,208.24,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,6,4,16,1,0,0,0,0,0,0,0,0
30,1,269,1,1,India,Cheteshwar Pujara,Olly Stone,,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.1,1,1,0,113341,-12.28,3.81,0,0,,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,1,5,16,1,1,0,0,0,0,0,0,0
31,2,269,1,1,India,Cheteshwar Pujara,Olly Stone,,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.2,1,1,0,113342,-12.28,3.81,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,2,5,16,1,0,0,0,0,0,0,0,0
