,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1581,1,1,India,Sanju Samson,Marco Jansen,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,543525,123.50,4.50,1,0,,30,ANGLED ACROSS,49,FORWARD DEFENCE,0,0,1,0,1,0,Middle stump,Good Length,1,0,0,0,0,0,0,0
1,2,1581,1,1,India,Abhishek Sharma,Marco Jansen,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,543526,123.50,4.50,0,0,,42,OUTSWINGER,5,LOFTED OFF DRIVE,0,0,2,0,1,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,1581,1,1,India,Abhishek Sharma,Marco Jansen,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,543527,80.50,13.00,0,0,,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,3,0,1,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
3,4,1581,1,1,India,Abhishek Sharma,Marco Jansen,,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,543528,35.50,73.50,1,0,,39,ANGLED IN,21,STEP DOWN OFF DRIVE,0,0,4,0,2,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,1581,1,1,India,Sanju Samson,Marco Jansen,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,543529,-90.00,40.00,0,0,,30,ANGLED ACROSS,97,BACKFOOT PUSH,0,0,5,0,2,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
5,6,1581,1,1,India,Sanju Samson,Marco Jansen,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,543530,-90.00,40.00,0,0,,30,ANGLED ACROSS,61,INSIDE OUT,0,0,6,0,2,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
6,1,1581,1,1,India,Abhishek Sharma,Aiden Markram,,2,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.1,1,1,0,543531,174.50,155.50,4,0,,25,OFF SPIN,114,STEP DOWN LOFTED COVER DRIVE,0,0,1,1,6,0,Off stump,Good Length,1,0,0,0,0,0,0,0
7,2,1581,1,1,India,Abhishek Sharma,Aiden Markram,,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,543532,111.00,138.50,1,0,,25,OFF SPIN,21,STEP DOWN OFF DRIVE,0,0,2,1,7,0,Off stump,Good Length,0,0,0,0,0,0,0,0
8,3,1581,1,1,India,Sanju Samson,Aiden Markram,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,543533,111.00,138.50,0,0,,23,ARM BALL,15,LOFTED COVER DRIVE,0,0,3,1,7,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
9,4,1581,1,1,India,Sanju Samson,Aiden Markram,,2,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.4,1,1,0,543534,-159.00,162.50,4,0,,25,OFF SPIN,5,LOFTED OFF DRIVE,0,0,4,1,11,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
10,5,1581,1,1,India,Sanju Samson,Aiden Markram,,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,543535,-109.00,27.50,1,0,,25,OFF SPIN,52,BACKFOOT COVERDRIVE,0,0,5,1,12,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
11,6,1581,1,1,India,Abhishek Sharma,Aiden Markram,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,543536,92.00,63.00,0,0,,25,OFF SPIN,51,FRONTFOOT COVERDRIVE,0,0,6,1,12,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
12,1,1581,1,1,India,Sanju Samson,Keshav Maharaj,,3,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.1,1,1,0,543537,-178.50,142.50,4,0,,10,ORTHODOX,114,STEP DOWN LOFTED COVER DRIVE,0,0,1,2,16,0,Leg stump,Good Length,1,0,0,0,0,0,0,0
13,2,1581,1,1,India,Sanju Samson,Keshav Maharaj,,3,2,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,2.2,1,1,0,543538,-155.00,173.50,6,0,,10,ORTHODOX,122,STEP DOWN LOFTED OFF DRIVE,0,0,2,2,22,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
14,3,1581,1,1,India,Sanju Samson,Keshav Maharaj,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,543539,-75.50,58.50,0,0,,10,ORTHODOX,27,FORWARD PUSH,0,0,3,2,22,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
15,4,1581,1,1,India,Sanju Samson,Keshav Maharaj,,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,543540,-40.00,-45.00,1,0,,10,ORTHODOX,52,BACKFOOT COVERDRIVE,0,0,4,2,23,0,Off stump,Good Length,0,0,0,0,0,0,0,0
16,5,1581,1,1,India,Abhishek Sharma,Keshav Maharaj,,3,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,543541,-108.50,144.50,1,0,,23,ARM BALL,74,STEP DOWN ON DRIVE,0,0,5,2,24,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
17,6,1581,1,1,India,Sanju Samson,Keshav Maharaj,,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,543542,-53.50,-16.00,0,0,,23,ARM BALL,106,BACKFOOT PULL SHOT,0,0,6,2,24,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
18,1,1581,1,1,India,Abhishek Sharma,Gerald Coetzee,,4,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,3.1,1,1,0,543543,85.00,141.50,0,0,,30,ANGLED ACROSS,5,LOFTED OFF DRIVE,0,0,1,3,24,1,Off stump,Good Length,1,0,0,0,0,0,0,0
19,2,1581,1,1,India,Suryakumar Yadav,Gerald Coetzee,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.2,1,1,0,543544,85.00,141.50,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,2,3,24,1,Outside Off stump,Good Length,2,0,0,0,0,0,0,0
20,3,1581,1,1,India,Suryakumar Yadav,Gerald Coetzee,,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,543545,85.00,141.50,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,3,3,24,1,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
21,4,1581,1,1,India,Suryakumar Yadav,Gerald Coetzee,,4,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.4,1,1,0,543546,-25.00,233.50,4,0,,39,ANGLED IN,13,LOFTED STRAIGHT,0,0,4,3,28,1,Off stump,Good Length,0,0,0,0,0,0,0,0
22,5,1581,1,1,India,Suryakumar Yadav,Gerald Coetzee,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.5,1,1,0,543547,-25.00,233.50,0,0,,36,BOUNCER,31,UPPER CUT,1,0,5,3,28,1,Outside Off stump,Short Length,0,0,0,0,0,0,0,0
23,6,1581,1,1,India,Suryakumar Yadav,Gerald Coetzee,,4,6,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,3.6,1,1,0,543548,69.50,-154.50,6,0,,39,ANGLED IN,58,BACKFOOT PULL SHOT,0,0,6,3,34,1,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
24,1,1581,1,1,India,Sanju Samson,Marco Jansen,,5,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.1,1,1,0,543549,206.50,88.00,4,0,,38,STRAIGHT BALL,46,FRONTFOOT PULL SHOT,0,0,1,4,38,1,Outside Leg stump,Good Length,1,0,0,0,0,0,0,0
25,2,1581,1,1,India,Sanju Samson,Marco Jansen,,5,2,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,4.2,1,1,0,543550,149.50,181.50,6,0,,38,STRAIGHT BALL,11,LOFTED ON DRIVE,0,0,2,4,44,1,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
26,3,1581,1,1,India,Sanju Samson,Marco Jansen,,5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,4.3,1,1,0,543551,-108.50,-16.50,1,0,,30,ANGLED ACROSS,97,BACKFOOT PUSH,0,0,3,4,45,1,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
27,4,1581,1,1,India,Suryakumar Yadav,Marco Jansen,,5,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.4,1,1,0,543552,-118.50,-132.50,4,0,,30,ANGLED ACROSS,44,GLIDE,0,0,4,4,49,1,Off stump,Good Length,0,0,0,0,0,0,0,0
28,5,1581,1,1,India,Suryakumar Yadav,Marco Jansen,,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.5,1,1,0,543553,-118.50,-132.50,0,0,,30,ANGLED ACROSS,44,GLIDE,0,0,5,4,49,1,Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
29,6,1581,1,1,India,Suryakumar Yadav,Marco Jansen,,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.6,1,1,0,543554,-118.50,-132.50,0,0,,36,BOUNCER,58,BACKFOOT PULL SHOT,1,0,6,4,49,1,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
30,1,1581,1,1,India,Sanju Samson,Gerald Coetzee,,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.1,1,1,0,543555,-118.50,-132.50,0,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,1,5,49,1,Leg stump,Full Length,1,0,0,0,0,0,0,0
31,2,1581,1,1,India,Sanju Samson,Gerald Coetzee,,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.2,1,1,0,543556,-43.00,20.50,0,0,,39,ANGLED IN,11,LOFTED ON DRIVE,0,0,2,5,49,1,Off stump,Good Length,0,0,0,0,0,0,0,0
32,3,1581,1,1,India,Sanju Samson,Gerald Coetzee,,6,3,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,5.3,1,1,0,543557,198.00,94.00,6,0,,36,BOUNCER,58,BACKFOOT PULL SHOT,1,0,3,5,55,1,Off stump,Short of Good Length,0,1,1,0,1,0,0,0
33,4,1581,1,1,India,Sanju Samson,Gerald Coetzee,,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.4,1,1,0,543558,198.00,94.00,0,0,,16,SLOW BOUNCER,31,UPPER CUT,0,0,4,5,55,1,Outside Off stump,Short Length,0,0,1,0,0,0,0,0
34,5,1581,1,1,India,Sanju Samson,Gerald Coetzee,,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.5,1,1,0,543559,46.00,87.50,0,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,5,5,55,1,Leg stump,Good Length,0,0,1,0,0,0,0,0
35,6,1581,1,1,India,Sanju Samson,Gerald Coetzee,,6,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,5.6,1,1,0,543560,160.00,78.00,1,0,,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,6,5,56,1,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0
36,1,1581,1,1,India,Sanju Samson,Keshav Maharaj,,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,6.1,1,1,0,543561,78.00,54.00,0,0,,10,ORTHODOX,52,BACKFOOT COVERDRIVE,0,0,1,6,56,1,Off stump,Good Length,1,0,1,0,0,0,0,0
37,2,1581,1,1,India,Sanju Samson,Keshav Maharaj,,7,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.2,1,1,0,543562,83.50,42.50,1,0,,23,ARM BALL,5,LOFTED OFF DRIVE,0,0,2,6,57,1,Outside Off stump,Good Length,0,0,1,0,0,0,0,0
38,3,1581,1,1,India,Suryakumar Yadav,Keshav Maharaj,,7,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.3,1,1,0,543563,130.50,-32.50,1,0,,10,ORTHODOX,55,SWEEP SHOT,0,0,3,6,58,1,Outside Off stump,Good Length,0,0,1,0,0,0,0,0
39,4,1581,1,1,India,Sanju Samson,Keshav Maharaj,,7,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.4,1,1,0,543564,-72.50,134.00,1,0,,10,ORTHODOX,6,BACKFOOT OFF DRIVE,0,0,4,6,59,1,Outside Off stump,Good Length,0,0,1,0,0,0,0,0
40,5,1581,1,1,India,Suryakumar Yadav,Keshav Maharaj,,7,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.5,1,1,0,543565,77.00,-85.50,1,0,,10,ORTHODOX,55,SWEEP SHOT,0,0,5,6,60,1,Leg stump,Full Length,0,0,1,0,0,0,0,0
41,6,1581,1,1,India,Sanju Samson,Keshav Maharaj,,7,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.6,1,1,0,543566,140.50,68.50,1,0,,10,ORTHODOX,58,BACKFOOT PULL SHOT,0,0,6,6,61,1,Off stump,Good Length,0,0,1,0,0,0,0,0
42,1,1581,1,1,India,Sanju Samson,Nqabayomzi Peter,,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,7.1,1,1,0,543567,-11.50,68.00,0,0,,24,LEG SPIN,66,BACK FOOT STRAIGHT DRIVE,0,0,1,7,61,1,Outside Off stump,Good Length,1,0,1,0,0,0,0,0
43,2,1581,1,1,India,Sanju Samson,Nqabayomzi Peter,,8,2,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,7.2,1,1,0,543568,195.50,93.00,6,0,,24,LEG SPIN,58,BACKFOOT PULL SHOT,0,0,2,7,67,1,Middle stump,Good Length,0,0,1,0,0,0,0,0
44,3,1581,1,1,India,Sanju Samson,Nqabayomzi Peter,,8,3,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,7.3,1,1,0,543569,201.50,35.00,6,0,,24,LEG SPIN,58,BACKFOOT PULL SHOT,0,0,3,7,73,1,Leg stump,Short of Good Length,0,0,1,0,0,0,0,0
