,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,1575,1,3,England,Phil Salt,Mohammad Shami,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,577584,,,0,0,,42,OUTSWINGER,51,FRONTFOOT COVERDRIVE,0,0,1,0,0,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0
1,2,1575,1,3,England,Phil Salt,Mohammad Shami,,1,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.2,1,1,0,577585,-8.50,232.50,4,0,,42,OUTSWINGER,53,FRONTFOOT STRAIGHT DRIVE,0,0,2,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
2,3,1575,1,3,England,Phil Salt,Mohammad Shami,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,577586,65.00,45.50,0,0,,41,INSWINGER,27,FORWARD PUSH,0,0,3,0,4,0,Off stump,Good Length,0,0,0,0,0,0,0,0
3,4,1575,1,3,England,Phil Salt,Mohammad Shami,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,577587,-58.50,105.00,0,0,,38,STRAIGHT BALL,84,FRONTFOOT OFF DRIVE,0,0,4,0,4,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
4,5,1575,1,3,England,Phil Salt,Mohammad Shami,,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,577588,152.50,-29.00,1,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,5,0,5,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0
5,6,1575,1,3,England,Ben Duckett,Mohammad Shami,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,577589,-112.00,98.50,1,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,6,0,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
6,1,1575,1,3,England,Ben Duckett,Hardik Pandya,,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,577590,159.50,53.00,1,0,,47,SLOWER BALL,52,BACKFOOT COVERDRIVE,0,0,1,1,7,0,Off stump,Short of Good Length,1,0,0,0,0,0,0,0
7,2,1575,1,3,England,Phil Salt,Hardik Pandya,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,577591,159.50,53.00,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,2,1,7,0,Outside Off stump,Short Length,0,0,0,0,0,0,0,0
8,3,1575,1,3,England,Phil Salt,Hardik Pandya,,2,3,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,1.3,1,1,0,577592,-77.50,59.00,0,0,,38,STRAIGHT BALL,15,LOFTED COVER DRIVE,0,0,3,1,7,1,Outside Off stump,Full Length,1,0,0,0,0,0,0,0
9,4,1575,1,3,England,Jos Buttler,Hardik Pandya,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,577593,73.50,52.00,0,0,,47,SLOWER BALL,27,FORWARD PUSH,0,0,4,1,7,1,Outside Off stump,Good Length,2,0,0,0,0,0,0,0
10,5,1575,1,3,England,Jos Buttler,Hardik Pandya,,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,577594,-63.50,91.00,1,0,,39,ANGLED IN,27,FORWARD PUSH,0,0,5,1,8,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
11,6,1575,1,3,England,Ben Duckett,Hardik Pandya,,2,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.6,1,1,0,577595,-167.00,-79.50,4,0,,38,STRAIGHT BALL,40,FRONTFOOT FLICK,0,0,6,1,12,1,Leg stump,Full Length,0,0,0,0,0,0,0,0
12,1,1575,1,3,England,Jos Buttler,Mohammad Shami,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,577596,-167.00,-79.50,0,0,,42,OUTSWINGER,52,BACKFOOT COVERDRIVE,0,0,1,2,12,1,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0
