CompetitionID,MatchID,MatchTypeID,MatchType,MatchStatus,MatchDate,MatchDateNew,MatchName,MatchTime,GMTMatchTime,GMTMatchDate,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,Flag,FirstBattingSummary,SecondBattingSummary,ClientMatchID,MATCH_COMMENCE_START_DATE,city,FlickrAlbumID,LiveStream,FBURL,T20ProMatchID,Temperature,WeatherIcon,TempUpdatedDate,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,HomeTeamColor1,HomeTeamColor2,AwayTeamColor1,AwayTeamColor2,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,MATCH_NO_OF_OVERS,ROUND_ID,MatchTypeName,RowNo,TeamType,CompetitionName,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,MatchHomeTeamLogo,MatchAwayTeamLogo,VideoScorecard,TimeZone,CurrentStrikerID,CurrentStrikerName,StrikerRuns,StrikerBalls,StrikerFours,StrikerSixes,StrikerSR,StrikerImage,CurrentNonStrikerID,CurrentNonStrikerName,NonStrikerRuns,NonStrikerBalls,NonStrikerFours,NonStrikerSixes,NonStrikerSR,NonStrikerImage,CurrentBowlerID,CurrentBowlerName,BowlerOvers,BowlerRuns,BowlerMaidens,BowlerWickets,BowlerEconomy,BowlerSR,BowlerImage,ChasingText,MatchBreakComments,MatchProgress,CurrentInnings,1Summary,1FallScore,1FallWickets,1FallOvers,1RunRate,2Summary,2FallScore,2FallWickets,2FallOvers,2RunRate,3Summary,3FallScore,3FallWickets,3FallOvers,3RunRate,4Summary,4FallScore,4FallWickets,4FallOvers,4RunRate,5Summary,5FallScore,5FallWickets,5FallOvers,5RunRate,6Summary,6FallScore,6FallWickets,6FallOvers,6RunRate,DivisionID,SecondInningsFirstBattingID,SecondInningsFirstBattingName,SecondInningsSecondBattingID,SecondInningsSecondBattingName,ThirdInningsFirstBattingID,ThirdInningsFirstBattingName,ThirdInningsSecondBattingID,ThirdInningsSecondBattingName,WinningTeamID,MatchOrder,RevisedOver,RevisedTarget,MatchRow,ProjectedScore,2ndProjectedScore,3rdProjectedScore,MOM,MOM_TYPE,MOMPlayerId,MOMRuns,MOMBalls,MOMWicket,MOMRC,MOMImage,KO,GMTMatchEndTime,GMTMatchEndDate,matchDateTime,timestamp,CustomMatchTime
154,1498,1,One Day D/N,Post,2024-06-16,16 Jun 2024,India (Women) vs South Africa (Women),13:30,08:00 GMT,2024-06-16,52,India (Women),54,South Africa (Women),INDW,SAW,12,M Chinnaswamy Stadium,India (Women) Won by 143  Runs ,India (Women),India (Women) Won The Toss And Elected To Bat, Won The Toss And Elected To Bat,1,265/8 (50.0 Ov),122/10 (37.4 Ov),,2024-06-16 13:30:00,Bengaluru,,,,,,,,498,261,159,87,52,India (Women),,,,,54,South Africa (Women),Asia/Kolkata,16 Jun 2024,22:30,50,0,ODI,1,,South Africa Women Tour Of India Odi Series 2024,Nimali Perera,Rohan Pandit,KN Ananthapadmanabhan,India (Women) Won by 143  Runs ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,0,+9.5,cc48836a443d4f22aed6b4d0e1b3103,Ayabonga Khaka,0,7,0,0,0.0,https://scores.bcci.tv/matchcentre/playerimages/szk6j8E52a1718182693442.png,2022-100mb00000000947-7fbbe0469a0411,Sinalo Jafta,27,30,4,0,90.0,https://scores.bcci.tv/matchcentre/playerimages/mPBVaCw5eJ1718182745947.png,2023-100mb00000001920-1e6c1fc5b39011,Sobhana Asha,8.4,21,2,4,2.42,13.0,https://scores.bcci.tv/matchcentre/playerimages/pDvHeqgeXh17184203631920.png,,,87.67,2,265/8 (50.0 Overs),265,8,50.0,5.3,122/10 (37.4 Overs),122,10,37.4,3.24,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,52,1st ODI,,,1,162,0,0,Smriti Mandhana,,401,117,127,-,-,https://scores.bcci.tv/matchcentre/playerimages/8xllIAnJpw1718420487401.png,,,,,,
154,1499,1,One Day D/N,Post,2024-06-19,19 Jun 2024,India (Women) vs South Africa (Women),13:30,08:00 GMT,2024-06-19,52,India (Women),54,South Africa (Women),INDW,SAW,12,M Chinnaswamy Stadium,India (Women) Won by 4  Runs ,South Africa (Women),South Africa (Women) Won The Toss And Elected To Field, Won The Toss And Elected To Field,1,325/3 (50.0 Ov),321/6 (50.0 Ov),,2024-06-19 13:30:00,Bengaluru,,,,,,,,159,484,498,87,52,India (Women),,,,,54,South Africa (Women),Asia/Kolkata,19 Jun 2024,22:30,50,0,ODI,2,,South Africa Women Tour Of India Odi Series 2024,KN Ananthapadmanabhan,Janani N,Nimali Perera,India (Women) Won by 4  Runs ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,0,+9.5,7c2c9d0886fa4046bea0f079e7e0f95,Laura Wolvaardt,135,135,12,3,100.0,https://scores.bcci.tv/matchcentre/playerimages/FuWXPh9EI31718182648436.png,2024-100mb00000003272-e757f94b224411,Mieke De Ridder,0,1,0,0,0.0,https://scores.bcci.tv/matchcentre/playerimages/5RVlxW5awl17181826133272.png,1c321bd6cf754f6aa8f13a0f49c469d,Pooja Vastrakar,7.0,54,0,2,7.71,21.0,https://scores.bcci.tv/matchcentre/playerimages/g2zDqT6r6y1718420439397.png,,,99.83,2,325/3 (50.0 Overs),325,3,50.0,6.5,321/6 (50.0 Overs),321,6,50.0,6.42,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,52,2nd  ODI,,,2,321,0,0,Harmanpreet Kaur,,387,103,88,-,-,https://scores.bcci.tv/matchcentre/playerimages/NrWyuvwa3Q1718420392387.png,,,,,,
154,1500,1,One Day D/N,Post,2024-06-23,23 Jun 2024,India (Women) vs South Africa (Women),13:30,08:00 GMT,2024-06-23,54,South Africa (Women),52,India (Women),SAW,INDW,12,M Chinnaswamy Stadium,India (Women) Won by 6  Wickets ,South Africa (Women),South Africa (Women) Won The Toss And Elected To Bat, Won The Toss And Elected To Bat,1,215/8 (50.0 Ov),220/4 (40.4 Ov),,2024-06-23 13:30:00,Bengaluru,,,,,,,,484,498,261,87,52,India (Women),,,,,54,South Africa (Women),Asia/Kolkata,23 Jun 2024,22:30,50,0,ODI,3,,South Africa Women Tour Of India Odi Series 2024,Janani N,Nimali Perera,Rohan Pandit,India (Women) Won by 6  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,0,+9.5,20200f9bf4944bce11ea9b3802322e7,Richa Ghosh,6,3,0,1,200.0,https://scores.bcci.tv/matchcentre/playerimages/zp1ckS4So31718420464399.png,4acef6b5a64744ecb8a987bf5c8b33b,Jemimah Rodrigues,19,31,1,0,61.29,https://scores.bcci.tv/matchcentre/playerimages/rI3usxJL731718420404388.png,1754215f21e54a3c95479db74d8fee3,Tumi Sekhukhune,8.4,43,0,1,4.96,52.0,https://scores.bcci.tv/matchcentre/playerimages/ZMegMcmcWS1718182675441.png,,,90.67,2,215/8 (50.0 Overs),215,8,50.0,4.3,220/4 (40.4 Overs),220,4,40.4,5.41,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,52,3rd  ODI,,,3,270,0,0,Deepti Sharma,,395,-,-,2,27,https://scores.bcci.tv/matchcentre/playerimages/wYsbQRQ8VG1718420424395.png,,,,,,
155,1501,6,Multi Day,Post,2024-06-28,28 Jun 2024,India (Women) vs South Africa (Women),09:30,04:00 GMT,2024-06-28,52,India (Women),54,South Africa (Women),INDW,SAW,18,MA Chidambaram Stadium,India (Women) Won by 10  Wickets ,India (Women),India (Women) Won The Toss And Elected To Bat, Won The Toss And Elected To Bat,1,603/6 dec (115.1 Ov) & 37/0 (9.2 Ov),266/10 (84.3 Ov) & 373/10 (154.4 Ov),,2024-06-28 09:30:00,Chennai,,,,,,,,87,485,221,121,52,India (Women),,,,,54,South Africa (Women),Asia/Kolkata,1 Jul 2024,17:30,90,0,Test,1,,South Africa Women Tour Of India Test Series 2024,Virender Kumar Sharma,Gayathri Venugopalan,Madanagopal Jayaraman,India (Women) Won by 10  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,0,+9.5,2023-100mb00000002715-1b88f733936011,Shubha Satheesh,13,26,1,0,50.0,https://scores.bcci.tv/matchcentre/playerimages/3OzH3qxQrr17194892562715.png,20196b991076ecad11e9ab5002322e7,Shafali Verma,24,30,3,1,80.0,https://scores.bcci.tv/matchcentre/playerimages/0wyk1Zt3w41719489327398.png,2023-100mb00000001710-03287c3e970011,Delmi Tucker,4.2,19,0,0,4.38,0.0,https://scores.bcci.tv/matchcentre/playerimages/FwIS4IpfqC17194855771710.png,,,77.59,4,603/6 dec (115.1 Overs),603,6 dec,115.1,5.24,266/10 (84.3 Overs),266,10,84.3,3.15,373/10 (154.4 Overs),373,10,154.4,2.41,37/0 (9.2 Overs),37,0,9.2,3.96,,,,,,,,,,,1,54,South Africa (Women),52,India (Women),,,,,52,Test,,,1,0,0,0,Sneh Rana,,887,-,-,8,77,https://scores.bcci.tv/matchcentre/playerimages/li2KxTc4Iq1719489393887.png,,,,,,
156,1502,8,T20 (N),Post,2024-07-05,5 Jul 2024,India (Women) vs South Africa (Women),19:00,13:30 GMT,2024-07-05,54,South Africa (Women),52,India (Women),SAW,INDW,18,MA Chidambaram Stadium,South Africa (Women) Won by 12   Runs ,India (Women),India (Women) Won The Toss And Elected To Field, Won The Toss And Elected To Field,1,189/4 (20.0 Ov),177/4 (20.0 Ov),,2024-07-05 19:00:00,Chennai,,,,,,,,221,483,87,121,52,India (Women),,,,,54,South Africa (Women),Asia/Kolkata,5 Jul 2024,23:59,20,0,T20,1,,South Africa Women Tour Of India T20 Series 2024,Madanagopal Jayaraman,Vrinda Rathi,Virender Kumar Sharma,South Africa (Women) Won by 12   Runs ,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,0,+9.5,45e022a459e64a3eb0391acc0db5efa,Harmanpreet Kaur,35,29,5,0,120.68,https://scores.bcci.tv/matchcentre/playerimages/Ix5jIiBK3z1720155162387.png,4acef6b5a64744ecb8a987bf5c8b33b,Jemimah Rodrigues,53,30,7,1,176.66,https://scores.bcci.tv/matchcentre/playerimages/aRqZhNE6OV1720155170388.png,2019767fe6b9ebd911e9ab5002322e7,Nonkululeko Mlaba,4.0,32,0,1,8.0,24.0,https://scores.bcci.tv/matchcentre/playerimages/Dth4hm9k1w1720156026444.png,,,,2,189/4 (20.0 Overs),189,4,20.0,9.45,177/4 (20.0 Overs),177,4,20.0,8.85,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,54,1st T20I,,,1,177,0,0,Tazmin Brits,,949,81,56,-,-,https://scores.bcci.tv/matchcentre/playerimages/ulynaIDmMO1720156055949.png,,,,,,
156,1503,8,T20 (N),Post,2024-07-07,7 Jul 2024,India (Women) vs South Africa (Women),19:00,13:30 GMT,2024-07-07,54,South Africa (Women),52,India (Women),SAW,INDW,18,MA Chidambaram Stadium,No Result,India (Women),India (Women) Won The Toss And Elected To Field, Won The Toss And Elected To Field,1,177/6 (20.0 Ov),,,2024-07-07 19:00:00,Chennai,,,,,,,,485,87,221,121,52,India (Women),,,,,54,South Africa (Women),Asia/Kolkata,7 Jul 2024,23:59,20,0,T20,2,,South Africa Women Tour Of India T20 Series 2024,Gayathri Venugopalan,Virender Kumar Sharma,Madanagopal Jayaraman,No Result,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,0,+9.5,2023-100mb00000001709-f1da89c196ff11,Annerie Dercksen,12,3,3,0,400.0,https://scores.bcci.tv/matchcentre/playerimages/qyWfmhDHnS17201559111709.png,2024-100mb00000003271-d7f36e0e224411,Eliz mari Marx,1,2,0,0,50.0,https://scores.bcci.tv/matchcentre/playerimages/rzBb35pe4H17201559473271.png,1c321bd6cf754f6aa8f13a0f49c469d,Pooja Vastrakar,4.0,37,0,2,9.25,12.0,https://scores.bcci.tv/matchcentre/playerimages/T19CxQG3sf1720155179397.png,,,,1,177/6 (20.0 Overs),177,6,20.0,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2nd  T20I,,,2,177,177,177,,,,-,-,-,-,,,,,,,
156,1504,2,T20,Post,2024-07-09,9 Jul 2024,India (Women) vs South Africa (Women),19:00,13:30 GMT,2024-07-09,54,South Africa (Women),52,India (Women),SAW,INDW,18,MA Chidambaram Stadium,India (Women) Won by 10  Wickets ,India (Women),India (Women) Won The Toss And Elected To Field, Won The Toss And Elected To Field,1,84/10 (17.1 Ov),88/0 (10.5 Ov),,2024-07-09 19:00:00,Chennai,,,,,,,,87,586,221,121,52,India (Women),,,,,54,South Africa (Women),Asia/Kolkata,9 Jul 2024,23:59,20,0,T20,3,,South Africa Women Tour Of India T20 Series 2024,Virender Kumar Sharma,Vrinda Rathi,Madanagopal Jayaraman,India (Women) Won by 10  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/rP928la9Yi1724744471LlZ2REbyDx1690461185sa.png,0,+9.5,5e06fdb22a3c493093228705309b237,Smriti Mandhana,54,40,8,2,135.0,https://scores.bcci.tv/matchcentre/playerimages/tfMyyA46on1720155287401.png,20196b991076ecad11e9ab5002322e7,Shafali Verma,27,25,3,0,108.0,https://scores.bcci.tv/matchcentre/playerimages/i2oZTH6Fkc1720155247398.png,2019ec93d715ebd911e9ab5002322e7,Nadine De Klerk,1.5,22,0,0,12.0,0.0,https://scores.bcci.tv/matchcentre/playerimages/LDfxPbDpMT1720156037445.png,,,77.08,2,84/10 (17.1 Overs),84,10,17.1,4.89,88/0 (10.5 Overs),88,0,10.5,8.12,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,52,3rd  T20I,,,3,162,0,0,Pooja Vastrakar,,397,-,-,4,13,https://scores.bcci.tv/matchcentre/playerimages/T19CxQG3sf1720155179397.png,,,,,,
168,1600,8,T20 (N),Post,2024-07-19,19 Jul 2024,India (Women) vs Pakistan (Women),19:00,13:30 GMT,2024-07-19,74,Pakistan (Women),52,India (Women),PAKW,INDW,72,Rangiri Dambulla International Stadium,India (Women) Won by 7  Wickets ,Pakistan (Women),Pakistan (Women) Won The Toss And Elected To Bat, Won The Toss And Elected To Bat,1,108/10 (19.2 Ov),109/3 (14.1 Ov),,2024-07-19 19:00:00,Dambulla,,,,,,,,498,572,500,145,52,India (Women),,,,,74,Pakistan (Women),Asia/Kolkata,19 Jul 2024,23:59,20,0,T20,1,,Asia Cup Women T20 2024 Bcci,Nimali Perera,Shathira Jakir Jesy,Dedunu Silva,India (Women) Won by 7  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/v0FFav09Bh1686738723pakistan.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/v0FFav09Bh1686738723pakistan.png,0,+9.5,4acef6b5a64744ecb8a987bf5c8b33b,Jemimah Rodrigues,3,3,0,0,100.0,https://scores.bcci.tv/matchcentre/playerimages/70s8Ptg0qg1721398802388.png,45e022a459e64a3eb0391acc0db5efa,Harmanpreet Kaur,5,11,0,0,45.45,https://scores.bcci.tv/matchcentre/playerimages/6MYNHXKadt1721398793387.png,2022-100mb00000001266-081b0671072411,Sadia Iqbal,2.1,18,0,0,8.31,0.0,https://scores.bcci.tv/matchcentre/playerimages/TcUPuifChl17211276121266.png,,,,2,108/10 (19.2 Overs),108,10,19.2,5.59,109/3 (14.1 Overs),109,3,14.1,7.69,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,52,1st T20I,,,1,153,0,0,Deepti Sharma,,395,-,-,3,20,https://scores.bcci.tv/matchcentre/playerimages/F8yxmLcWF21721398819395.png,,,,,,
168,1601,2,T20,Post,2024-07-21,21 Jul 2024,India (Women) vs UAE (Women),14:00,08:30 GMT,2024-07-21,52,India (Women),84,UAE (Women),INDW,UAEW,72,Rangiri Dambulla International Stadium,India (Women) Won by 78  Runs ,UAE (Women),Uae (Women) Won The Toss And Elected To Field, Won The Toss And Elected To Field,1,201/5 (20.0 Ov),123/7 (20.0 Ov),,2024-07-21 14:00:00,Dambulla,,,,,,,,572,498,496,145,52,India (Women),,,,,84,UAE (Women),Asia/Kolkata,21 Jul 2024,23:59,20,0,T20,2,,Asia Cup Women T20 2024 Bcci,Shathira Jakir Jesy,Nimali Perera,Saleem Imtiaz,India (Women) Won by 78  Runs ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/ujUPV1erRm1721214414uae.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/ujUPV1erRm1721214414uae.png,0,+9.5,2022-100mb00000001156-fdc848f8ee0911,Kavisha Egodage,40,32,3,1,125.0,https://scores.bcci.tv/matchcentre/playerimages/5BWCcPmym117211273661156.png,2022-100mb00000001160-8e7d1fe9ee0a11,Rithika Rajith,6,7,0,0,85.71,https://scores.bcci.tv/matchcentre/playerimages/o4bRfi8kcK17211274011160.png,4e78f2e8c4854e419aedda1321ac7ad,Radha Yadav,4.0,29,0,1,7.25,24.0,https://scores.bcci.tv/matchcentre/playerimages/6N0D5E0Ytm1721398862400.png,,,99.58,2,201/5 (20.0 Overs),201,5,20.0,10.05,123/7 (20.0 Overs),123,7,20.0,6.15,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,52,2nd  T20I,,,2,123,0,0,Richa Ghosh,,399,64,29,-,-,https://scores.bcci.tv/matchcentre/playerimages/Sc5qBLEReD1721398853399.png,,,,,,
168,1602,8,T20 (N),Post,2024-07-23,23 Jul 2024,India (Women) vs Nepal (Women),19:00,13:30 GMT,2024-07-23,52,India (Women),88,Nepal (Women),INDW,NEPW,72,Rangiri Dambulla International Stadium,India (Women) Won by 82  Runs (Qualified),India (Women),India (Women) Won The Toss And Elected To Bat, Won The Toss And Elected To Bat,1,178/3 (20.0 Ov),96/9 (20.0 Ov),,2024-07-23 19:00:00,Dambulla,,,,,,,,496,498,572,145,52,India (Women),,,,,88,Nepal (Women),Asia/Kolkata,23 Jul 2024,23:59,20,0,T20,3,,Asia Cup Women T20 2024 Bcci,Saleem Imtiaz,Nimali Perera,Shathira Jakir Jesy,India (Women) Won by 82  Runs (Qualified),https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/5hJFODvQtR1725442101Nepal W.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/5hJFODvQtR1725442101Nepal W.png,0,+9.5,2022-100mb00000001089-8cd54a0ced9f11,Bindu Rawal,17,19,2,0,89.47,https://scores.bcci.tv/matchcentre/playerimages/UsX6iQGhW417212089091089.png,2022-100mb00000001092-fd0dfda8ed9f11,Sabnam Rai,1,2,0,0,50.0,https://scores.bcci.tv/matchcentre/playerimages/vAx6GbjUpd17212090021092.png,934e9959231c4ca3b118005cdbee4e8,Deepti Sharma,4.0,13,0,3,3.25,8.0,https://scores.bcci.tv/matchcentre/playerimages/F8yxmLcWF21721398819395.png,,,,2,178/3 (20.0 Overs),178,3,20.0,8.9,96/9 (20.0 Overs),96,9,20.0,4.8,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,52,3rd  T20I,,,3,96,0,0,Shafali Verma,,398,81,48,-,-,https://scores.bcci.tv/matchcentre/playerimages/EKK7LVvRuK1721398843398.png,,,,,,
