,MatchID,inningNumber,oversUnique,overNumber,ballNumber,batsmanPlayerId,bowlerPlayerId,totalInningRuns,totalInningWickets,totalRuns,batsmanRuns,isFour,isSix,isWicket,dismissalType,byes,legbyes,wides,noballs,penalties,wagonX,wagonY,wagonZone,pitchLine,pitchLength,shotType,shotControl,timestamp,outPlayerId,predictions,title,dismissalText,events,over,batsmanStatText,bowlerStatText,smartStats
0,1428554,1,0.01,1,1,59148,49496,0,0,0,0,False,False,False,,0,0,0,0,0,223,142,2,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,DEFENDED,1.0,2024-11-27T22:01:13.000Z,,,Woakes to Latham,,[],,,,[]
1,1428554,1,0.02,1,2,59148,49496,0,0,0,0,False,False,False,,0,0,0,0,0,180,197,4,ON_THE_STUMPS,FULL,DEFENDED,1.0,2024-11-27T22:01:36.000Z,,,Woakes to Latham,,[],,,,[]
2,1428554,1,0.03,1,3,59148,49496,0,0,0,0,False,False,False,,0,0,0,0,0,0,0,0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,LEFT_ALONE,1.0,2024-11-27T22:02:06.000Z,,,Woakes to Latham,,[],,,,[]
3,1428554,1,0.04,1,4,59148,49496,0,0,0,0,False,False,False,,0,0,0,0,0,0,0,0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,LEFT_ALONE,1.0,2024-11-27T22:02:41.000Z,,,Woakes to Latham,,[],,,,[]
4,1428554,1,0.05,1,5,59148,49496,0,0,0,0,False,False,False,,0,0,0,0,0,0,0,0,ON_THE_STUMPS,SHORT,LEFT_ALONE,1.0,2024-11-27T22:03:15.000Z,,,Woakes to Latham,,[],,,,[]
5,1428554,1,0.06,1,6,59148,49496,0,0,0,0,False,False,False,,0,0,0,0,0,0,0,0,OUTSIDE_OFFSTUMP,FULL,FLICK,2.0,2024-11-27T22:03:58.000Z,,,Woakes to Latham,,[],"{'team': {'id': 5, 'objectId': 5, 'scribeId': 5, 'slug': 'new-zealand', 'name': 'New Zealand', 'longName': 'New Zealand', 'abbreviation': 'NZ', 'unofficialName': '', 'imageUrl': '/lsci/db/PICTURES/CMS/340500/340505.png', 'isCountry': True, 'primaryColor': '#b7c0c8', 'image': {'id': 340505, 'objectId': 1318717, 'slug': 'new-zealand-team-flag-latest', 'url': '/lsci/db/PICTURES/CMS/340500/340505.png', 'width': 500, 'height': 500, 'caption': 'New Zealand team flag-latest', 'longCaption': 'New Zealand team flag-latest', 'credit': 'Getty Images', 'photographer': None, 'peerUrls': None}, 'country': {'id': 5, 'objectId': 5, 'name': 'New Zealand', 'shortName': 'New Zealand', 'abbreviation': 'NZ', 'slug': 'new-zealand'}}, 'inningNumber': 1, 'overNumber': 1, 'overRuns': 0, 'overWickets': 0, 'totalRuns': 0, 'totalWickets': 0, 'target': 0, 'overLimit': 0, 'ballLimit': 0, 'isMaiden': True, 'isComplete': True, 'isSuperOver': False, 'overEndBatsmen': [{'player': {'id': 59148, 'objectId': 388802, 'name': 'TWM Latham', 'longName': 'Tom Latham', 'mobileName': 'Latham', 'indexName': 'Latham, TWM', 'battingName': 'TWM Latham', 'fieldingName': 'Latham', 'slug': 'tom-latham', 'imageUrl': '/lsci/db/PICTURES/CMS/316600/316672.1.png', 'headshotImageUrl': '/lsci/db/PICTURES/CMS/316600/316672.png', 'dateOfBirth': {'year': 1992, 'month': 4, 'date': 2}, 'dateOfDeath': None, 'gender': 'M', 'battingStyles': ['lhb'], 'bowlingStyles': ['rm'], 'longBattingStyles': ['left-hand bat'], 'longBowlingStyles': ['right-arm medium'], 'image': {'id': 316672, 'objectId': 1251305, 'slug': 'twm-latham-headshot', 'url': '/lsci/db/PICTURES/CMS/316600/316672.1.png', 'width': 160, 'height': 136, 'caption': 'TWM Latham headshot', 'longCaption': 'TWM Latham headshot', 'credit': None, 'photographer': None, 'peerUrls': None}, 'countryTeamId': 5, 'playerRoleTypeIds': [7], 'playingRoles': ['wicketkeeper batter'], 'headshotImage': {'id': 316672, 'objectId': 1251305, 'slug': 'twm-latham-headshot', 'url': '/lsci/db/PICTURES/CMS/316600/316672.png', 'width': 600, 'height': 436, 'caption': 'TWM Latham headshot', 'longCaption': 'TWM Latham headshot', 'credit': None, 'photographer': None, 'peerUrls': {'FILM': None, 'WIDE': None, 'SQUARE': None}}}, 'runs': 0, 'balls': 6, 'fours': 0, 'sixes': 0}, {'player': {'id': 58403, 'objectId': 379140, 'name': 'DP Conway', 'longName': 'Devon Conway', 'mobileName': 'Conway', 'indexName': 'Conway, DP', 'battingName': 'DP Conway', 'fieldingName': 'Conway', 'slug': 'devon-conway', 'imageUrl': '/lsci/db/PICTURES/CMS/383100/383148.1.png', 'headshotImageUrl': '/lsci/db/PICTURES/CMS/383100/383148.png', 'dateOfBirth': {'year': 1991, 'month': 7, 'date': 8}, 'dateOfDeath': None, 'gender': 'M', 'battingStyles': ['lhb'], 'bowlingStyles': ['rm'], 'longBattingStyles': ['left-hand bat'], 'longBowlingStyles': ['right-arm medium'], 'image': {'id': 383148, 'objectId': 1439401, 'slug': 'devon-conway-portrait', 'url': '/lsci/db/PICTURES/CMS/383100/383148.1.png', 'width': 160, 'height': 136, 'caption': 'Devon Conway portrait', 'longCaption': 'Devon Conway portrait', 'credit': None, 'photographer': None, 'peerUrls': None}, 'countryTeamId': 5, 'playerRoleTypeIds': [7], 'playingRoles': ['wicketkeeper batter'], 'headshotImage': {'id': 383148, 'objectId': 1439401, 'slug': 'devon-conway-portrait', 'url': '/lsci/db/PICTURES/CMS/383100/383148.png', 'width': 600, 'height': 436, 'caption': 'Devon Conway portrait', 'longCaption': 'Devon Conway portrait', 'credit': None, 'photographer': None, 'peerUrls': {'FILM': None, 'WIDE': None, 'SQUARE': '/lsci/db/PICTURES/CMS/383100/383148.square.png'}}}, 'runs': 0, 'balls': 0, 'fours': 0, 'sixes': 0}], 'overEndBowlers': [{'player': {'id': 49496, 'objectId': 247235, 'name': 'CR Woakes', 'longName': 'Chris Woakes', 'mobileName': 'Woakes', 'indexName': 'Woakes, CR', 'battingName': 'CR Woakes', 'fieldingName': 'Woakes', 'slug': 'chris-woakes', 'imageUrl': '/lsci/db/PICTURES/CMS/316600/316603.1.png', 'headshotImageUrl': '/lsci/db/PICTURES/CMS/316600/316603.png', 'dateOfBirth': {'year': 1989, 'month': 3, 'date': 2}, 'dateOfDeath': None, 'gender': 'M', 'battingStyles': ['rhb'], 'bowlingStyles': ['rfm'], 'longBattingStyles': ['right-hand bat'], 'longBowlingStyles': ['right-arm fast-medium'], 'image': {'id': 316603, 'objectId': 1251234, 'slug': 'cr-woakes-headshot', 'url': '/lsci/db/PICTURES/CMS/316600/316603.1.png', 'width': 160, 'height': 136, 'caption': 'CR Woakes headshot', 'longCaption': 'CR Woakes headshot', 'credit': None, 'photographer': None, 'peerUrls': None}, 'countryTeamId': 1, 'playerRoleTypeIds': [5], 'playingRoles': ['allrounder'], 'headshotImage': {'id': 316603, 'objectId': 1251234, 'slug': 'cr-woakes-headshot', 'url': '/lsci/db/PICTURES/CMS/316600/316603.png', 'width': 600, 'height': 436, 'caption': 'CR Woakes headshot', 'longCaption': 'CR Woakes headshot', 'credit': None, 'photographer': None, 'peerUrls': {'FILM': None, 'WIDE': None, 'SQUARE': None}}}, 'overs': 1, 'balls': 6, 'maidens': 1, 'conceded': 0, 'wickets': 0, 'currentType': 1}], 'rollover': None}",,,[]
6,1428554,1,1.01,2,1,58403,93785,0,0,0,0,False,False,False,,0,0,0,0,0,0,0,0,OUTSIDE_OFFSTUMP,SHORT,LEFT_ALONE,1.0,2024-11-27T22:05:27.000Z,,,Atkinson to Conway,,[],,,,[]
7,1428554,1,1.02,2,2,58403,93785,1,0,1,0,False,False,False,,0,0,0,1,0,206,189,3,OUTSIDE_OFFSTUMP,FULL,DEFENDED,1.0,2024-11-27T22:06:08.000Z,,,Atkinson to Conway,,[],,,,[]
8,1428554,1,1.03,2,3,58403,93785,1,0,0,0,False,False,False,,0,0,0,0,0,221,190,3,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DEFENDED,1.0,2024-11-27T22:06:52.000Z,,,Atkinson to Conway,,[],,,,[]
9,1428554,1,1.04,2,4,58403,93785,1,0,0,0,False,False,False,,0,0,0,0,0,0,0,0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,LEFT_ALONE,1.0,2024-11-27T22:07:31.000Z,,,Atkinson to Conway,,[],,,,[]
